REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,01-01-19 0:30,7457.58,66.95
NSW1,01-01-19 1:00,7243.21,69.33
NSW1,01-01-19 1:30,6918.55,72.8
NSW1,01-01-19 2:00,6676.58,70.31
NSW1,01-01-19 2:30,6513.24,66.98
NSW1,01-01-19 3:00,6400,63.87
NSW1,01-01-19 3:30,6317.4,62.2
NSW1,01-01-19 4:00,6242.08,50.22
NSW1,01-01-19 4:30,6229.28,53.75
NSW1,01-01-19 5:00,6198.13,50.29
NSW1,01-01-19 5:30,6241.44,47.59
NSW1,01-01-19 6:00,6290.89,48.63
NSW1,01-01-19 6:30,6415.2,53.17
NSW1,01-01-19 7:00,6508.09,45.82
NSW1,01-01-19 7:30,6749.01,48.96
NSW1,01-01-19 8:00,6920.99,52.18
NSW1,01-01-19 8:30,7208.88,48.21
NSW1,01-01-19 9:00,7441.69,53.69
NSW1,01-01-19 9:30,7711.7,61.01
NSW1,01-01-19 10:00,7995.99,59.08
NSW1,01-01-19 10:30,8241.91,66.33
NSW1,01-01-19 11:00,8448.3,68.42
NSW1,01-01-19 11:30,8662.51,77.27
NSW1,01-01-19 12:00,8903.65,89.49
NSW1,01-01-19 12:30,9098.25,91.87
NSW1,01-01-19 13:00,9261.03,91.87
NSW1,01-01-19 13:30,9438.9,96.62
NSW1,01-01-19 14:00,9618.07,95.5
NSW1,01-01-19 14:30,9761.39,95.8
NSW1,01-01-19 15:00,9932.58,92.96
NSW1,01-01-19 15:30,10088.02,91.35
NSW1,01-01-19 16:00,10242.97,107.51
NSW1,01-01-19 16:30,10398.45,101.87
NSW1,01-01-19 17:00,10562.71,90.78
NSW1,01-01-19 17:30,10612.81,93.91
NSW1,01-01-19 18:00,10522.14,116.02
NSW1,01-01-19 18:30,10333.52,123.43
NSW1,01-01-19 19:00,10063.53,131.15
NSW1,01-01-19 19:30,9801.12,112.5
NSW1,01-01-19 20:00,9696.41,98.72
NSW1,01-01-19 20:30,9474.14,103.01
NSW1,01-01-19 21:00,9220.31,98.46
NSW1,01-01-19 21:30,8956.15,90.3
NSW1,01-01-19 22:00,8574.7,71.58
NSW1,01-01-19 22:30,8412.75,103.54
NSW1,01-01-19 23:00,8118.29,77.85
NSW1,01-01-19 23:30,7839.53,74.77
NSW1,02-01-19 0:00,7633.77,77.3
NSW1,02-01-19 0:30,7361,75.45
NSW1,02-01-19 1:00,7136.01,62.53
NSW1,02-01-19 1:30,6840.9,59.47
NSW1,02-01-19 2:00,6624.94,45.77
NSW1,02-01-19 2:30,6481.67,46.45
NSW1,02-01-19 3:00,6426.5,56.44
NSW1,02-01-19 3:30,6431.29,59.42
NSW1,02-01-19 4:00,6466.94,63.42
NSW1,02-01-19 4:30,6616.06,66.01
NSW1,02-01-19 5:00,6686.19,65.71
NSW1,02-01-19 5:30,6963.81,71.59
NSW1,02-01-19 6:00,7234.55,84.19
NSW1,02-01-19 6:30,7545.75,91.97
NSW1,02-01-19 7:00,7819.46,93.95
NSW1,02-01-19 7:30,8102.21,95.32
NSW1,02-01-19 8:00,8342.44,100.6
NSW1,02-01-19 8:30,8582.59,92.29
NSW1,02-01-19 9:00,8781.68,91.87
NSW1,02-01-19 9:30,8959.65,93.17
NSW1,02-01-19 10:00,9173.43,91.74
NSW1,02-01-19 10:30,9426.85,106.25
NSW1,02-01-19 11:00,9619.04,102.11
NSW1,02-01-19 11:30,9802.56,98.84
NSW1,02-01-19 12:00,10005.07,122.31
NSW1,02-01-19 12:30,10136.4,113.11
NSW1,02-01-19 13:00,10342.06,186.8
NSW1,02-01-19 13:30,10521.07,112.15
NSW1,02-01-19 14:00,10716.78,110.53
NSW1,02-01-19 14:30,10942.52,120.82
NSW1,02-01-19 15:00,10901.94,108.24
NSW1,02-01-19 15:30,10754.86,92.61
NSW1,02-01-19 16:00,10724.06,90.63
NSW1,02-01-19 16:30,10498.18,100.93
NSW1,02-01-19 17:00,10434.63,115.01
NSW1,02-01-19 17:30,10252.5,106.79
NSW1,02-01-19 18:00,10187.44,123.65
NSW1,02-01-19 18:30,9940.76,106.24
NSW1,02-01-19 19:00,9693.76,107.14
NSW1,02-01-19 19:30,9558.47,91.71
NSW1,02-01-19 20:00,9443.96,100.39
NSW1,02-01-19 20:30,9253.56,100.55
NSW1,02-01-19 21:00,8946.84,88.02
NSW1,02-01-19 21:30,8820.49,92.49
NSW1,02-01-19 22:00,8444.44,82.44
NSW1,02-01-19 22:30,8325.25,82.25
NSW1,02-01-19 23:00,8043.19,77.55
NSW1,02-01-19 23:30,7845.51,85.16
NSW1,03-01-19 0:00,7667.46,81.88
NSW1,03-01-19 0:30,7422.27,68.21
NSW1,03-01-19 1:00,7222.76,76.78
NSW1,03-01-19 1:30,6955.24,74.59
NSW1,03-01-19 2:00,6726.25,67.02
NSW1,03-01-19 2:30,6619.08,68.21
NSW1,03-01-19 3:00,6569.36,66.37
NSW1,03-01-19 3:30,6529.21,65.47
NSW1,03-01-19 4:00,6522.65,60.39
NSW1,03-01-19 4:30,6625.18,66.23
NSW1,03-01-19 5:00,6721.64,69.16
NSW1,03-01-19 5:30,6987.92,73.96
NSW1,03-01-19 6:00,7206.49,75
NSW1,03-01-19 6:30,7525.7,78.38
NSW1,03-01-19 7:00,7877.83,88.21
NSW1,03-01-19 7:30,8157.31,78.91
NSW1,03-01-19 8:00,8338.14,82.08
NSW1,03-01-19 8:30,8538.89,89.72
NSW1,03-01-19 9:00,8596.93,96.05
NSW1,03-01-19 9:30,8756.03,97.67
NSW1,03-01-19 10:00,8877.01,95.1
NSW1,03-01-19 10:30,8986.01,104.82
NSW1,03-01-19 11:00,9161.77,118.79
NSW1,03-01-19 11:30,9276.83,109.83
NSW1,03-01-19 12:00,9477.42,107.6
NSW1,03-01-19 12:30,9576.92,92.48
NSW1,03-01-19 13:00,9614.9,88.58
NSW1,03-01-19 13:30,9747.6,94.11
NSW1,03-01-19 14:00,9893.62,105.59
NSW1,03-01-19 14:30,10106.68,115.29
NSW1,03-01-19 15:00,10268.19,120.09
NSW1,03-01-19 15:30,10440.93,116.85
NSW1,03-01-19 16:00,10540.06,159.14
NSW1,03-01-19 16:30,10449.56,109.84
NSW1,03-01-19 17:00,10354.61,115.44
NSW1,03-01-19 17:30,10127.28,125.94
NSW1,03-01-19 18:00,9999.44,108.63
NSW1,03-01-19 18:30,9855.65,110.22
NSW1,03-01-19 19:00,9656.44,100.23
NSW1,03-01-19 19:30,9552.96,132.46
NSW1,03-01-19 20:00,9499.1,154.44
NSW1,03-01-19 20:30,9297.62,100.08
NSW1,03-01-19 21:00,9002.23,78.27
NSW1,03-01-19 21:30,8845.9,90.04
NSW1,03-01-19 22:00,8633.79,77.47
NSW1,03-01-19 22:30,8438.75,92.56
NSW1,03-01-19 23:00,8193,93.72
NSW1,03-01-19 23:30,7961.82,79.52
NSW1,04-01-19 0:00,7713.75,77.63
