REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,01-04-18 0:00,6775.9,68.24
NSW1,01-04-18 0:30,6598.45,66.61
NSW1,01-04-18 1:00,6428.87,59.82
NSW1,01-04-18 1:30,6158.19,62.51
NSW1,01-04-18 2:00,6012.85,66.97
NSW1,01-04-18 2:30,5856.6,66.8
NSW1,01-04-18 3:00,5778.69,57.29
NSW1,01-04-18 3:30,5754.54,59.98
NSW1,01-04-18 4:00,5653.22,56.09
NSW1,01-04-18 4:30,5673.75,59.71
NSW1,01-04-18 5:00,5670.34,60.98
NSW1,01-04-18 5:30,5773.96,60.65
NSW1,01-04-18 6:00,5802.34,56.03
NSW1,01-04-18 6:30,5918.79,58.48
NSW1,01-04-18 7:00,6127.28,61.78
NSW1,01-04-18 7:30,6356.33,63.41
NSW1,01-04-18 8:00,6545.05,60.53
NSW1,01-04-18 8:30,6744.82,66.38
NSW1,01-04-18 9:00,6793.1,65.08
NSW1,01-04-18 9:30,6804.46,61.81
NSW1,01-04-18 10:00,6835.57,62.59
NSW1,01-04-18 10:30,6828.17,61.13
NSW1,01-04-18 11:00,6878,61.5
NSW1,01-04-18 11:30,6889.73,57
NSW1,01-04-18 12:00,6997.03,61.81
NSW1,01-04-18 12:30,7208.89,63.74
NSW1,01-04-18 13:00,7322.84,69.03
NSW1,01-04-18 13:30,7436.66,67.4
NSW1,01-04-18 14:00,7563.41,64.97
NSW1,01-04-18 14:30,7690.51,62.74
NSW1,01-04-18 15:00,7880.26,65.59
NSW1,01-04-18 15:30,8081.79,85.24
NSW1,01-04-18 16:00,8246.9,89.27
NSW1,01-04-18 16:30,8413.03,87.36
NSW1,01-04-18 17:00,8577.88,92.03
NSW1,01-04-18 17:30,8556.96,94.96
NSW1,01-04-18 18:00,8532.42,98.18
NSW1,01-04-18 18:30,8672.46,97.96
NSW1,01-04-18 19:00,8613.05,101.84
NSW1,01-04-18 19:30,8410.65,91.97
NSW1,01-04-18 20:00,8240.03,82.73
NSW1,01-04-18 20:30,7987.01,67.94
NSW1,01-04-18 21:00,7804.12,69.35
NSW1,01-04-18 21:30,7645.52,68.89
NSW1,01-04-18 22:00,7546.94,65.67
NSW1,01-04-18 22:30,7451.9,66.47
NSW1,01-04-18 23:00,7247.68,62.14
NSW1,01-04-18 23:30,7114.67,65.71
NSW1,02-04-18 0:00,6944.39,61.42
NSW1,02-04-18 0:30,6837.28,57.41
NSW1,02-04-18 1:00,6600.77,49.11
NSW1,02-04-18 1:30,6367.75,60.24
NSW1,02-04-18 2:00,6174.27,62.94
NSW1,02-04-18 2:30,5968.64,59.12
NSW1,02-04-18 3:00,5829.62,49.83
NSW1,02-04-18 3:30,5776.16,61.78
NSW1,02-04-18 4:00,5767.13,60.64
NSW1,02-04-18 4:30,5801.68,60.15
NSW1,02-04-18 5:00,5801.94,58.4
NSW1,02-04-18 5:30,5908.34,54.47
NSW1,02-04-18 6:00,6022.98,58.53
NSW1,02-04-18 6:30,6106.82,60.6
NSW1,02-04-18 7:00,6283.58,61.78
NSW1,02-04-18 7:30,6461.02,59.84
NSW1,02-04-18 8:00,6600.5,61.65
NSW1,02-04-18 8:30,6774.78,65.38
NSW1,02-04-18 9:00,6979.13,69.76
NSW1,02-04-18 9:30,7137.62,62.43
NSW1,02-04-18 10:00,7219.69,62.74
NSW1,02-04-18 10:30,7386.71,62.61
NSW1,02-04-18 11:00,7434.72,59.96
NSW1,02-04-18 11:30,7496.79,61.42
NSW1,02-04-18 12:00,7564.79,61.09
NSW1,02-04-18 12:30,7659.5,63.78
NSW1,02-04-18 13:00,7847.63,64.21
NSW1,02-04-18 13:30,8047.96,65.42
NSW1,02-04-18 14:00,8242.79,70.63
NSW1,02-04-18 14:30,8399.02,70.67
NSW1,02-04-18 15:00,8650.59,85.44
NSW1,02-04-18 15:30,8676.75,79.24
NSW1,02-04-18 16:00,8651.52,71.33
NSW1,02-04-18 16:30,8777.3,86.01
NSW1,02-04-18 17:00,8751.4,89.99
NSW1,02-04-18 17:30,8788.47,97.88
NSW1,02-04-18 18:00,8873.96,108.71
NSW1,02-04-18 18:30,8925.76,103.22
NSW1,02-04-18 19:00,8790.1,91.33
NSW1,02-04-18 19:30,8468.98,80.43
NSW1,02-04-18 20:00,8254.06,78.68
NSW1,02-04-18 20:30,7989.56,74.87
NSW1,02-04-18 21:00,7786.95,69.54
NSW1,02-04-18 21:30,7639.33,64.51
NSW1,02-04-18 22:00,7463.12,60.79
NSW1,02-04-18 22:30,7435.26,61.32
NSW1,02-04-18 23:00,7262.35,58.9
NSW1,02-04-18 23:30,7247.69,71.21
NSW1,03-04-18 0:00,7183.47,66.35
NSW1,03-04-18 0:30,7051.08,65.06
NSW1,03-04-18 1:00,6915.25,62.16
NSW1,03-04-18 1:30,6592.28,63.34
NSW1,03-04-18 2:00,6417.22,70.48
NSW1,03-04-18 2:30,6164.79,63.77
NSW1,03-04-18 3:00,6047.42,61.07
NSW1,03-04-18 3:30,5910.44,59.76
NSW1,03-04-18 4:00,5890.04,63.27
NSW1,03-04-18 4:30,5978.73,60.36
NSW1,03-04-18 5:00,6007.35,60.3
NSW1,03-04-18 5:30,6315.43,63.72
NSW1,03-04-18 6:00,6593.77,63.07
NSW1,03-04-18 6:30,7102.08,65.17
NSW1,03-04-18 7:00,7540.78,80.7
NSW1,03-04-18 7:30,7901.47,70.05
NSW1,03-04-18 8:00,8140.58,79.49
NSW1,03-04-18 8:30,8242.69,84.32
NSW1,03-04-18 9:00,8276.22,86.23
NSW1,03-04-18 9:30,8441.02,82.03
NSW1,03-04-18 10:00,8451.48,74.53
NSW1,03-04-18 10:30,8430.99,77.03
NSW1,03-04-18 11:00,8422.38,76.9
NSW1,03-04-18 11:30,8387.54,85.27
NSW1,03-04-18 12:00,8356.2,83.31
NSW1,03-04-18 12:30,8370.33,84.69
NSW1,03-04-18 13:00,8384.88,83.58
NSW1,03-04-18 13:30,8383.95,87.72
NSW1,03-04-18 14:00,8462.98,94.25
NSW1,03-04-18 14:30,8483.9,88.28
NSW1,03-04-18 15:00,8567.23,88.29
