REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,01-07-18 0:00,8542.11,80.66,TRADE
NSW1,01-07-18 0:30,8212.12,74.62,TRADE
NSW1,01-07-18 1:00,7969.02,64.91,TRADE
NSW1,01-07-18 1:30,7828.35,60.8,TRADE
NSW1,01-07-18 2:00,7620.26,63.62,TRADE
NSW1,01-07-18 2:30,7348.19,62.12,TRADE
NSW1,01-07-18 3:00,7106.36,61.29,TRADE
NSW1,01-07-18 3:30,6919.92,61.63,TRADE
NSW1,01-07-18 4:00,6842.94,61.84,TRADE
NSW1,01-07-18 4:30,6824.25,63.62,TRADE
NSW1,01-07-18 5:00,6857.11,59.85,TRADE
NSW1,01-07-18 5:30,6979.58,58.14,TRADE
NSW1,01-07-18 6:00,7136.91,59.36,TRADE
NSW1,01-07-18 6:30,7382.5,61.22,TRADE
NSW1,01-07-18 7:00,7790.13,66.27,TRADE
NSW1,01-07-18 7:30,8149.57,60.29,TRADE
NSW1,01-07-18 8:00,8664.81,75.34,TRADE
NSW1,01-07-18 8:30,9035.24,86.66,TRADE
NSW1,01-07-18 9:00,9220.89,91.19,TRADE
NSW1,01-07-18 9:30,9314,102.08,TRADE
NSW1,01-07-18 10:00,9148.96,96.52,TRADE
NSW1,01-07-18 10:30,8876.12,90.36,TRADE
NSW1,01-07-18 11:00,8594.24,78.46,TRADE
NSW1,01-07-18 11:30,8304.6,63.23,TRADE
NSW1,01-07-18 12:00,8090.19,58.21,TRADE
NSW1,01-07-18 12:30,7968.18,57.06,TRADE
NSW1,01-07-18 13:00,7849.63,54.28,TRADE
NSW1,01-07-18 13:30,7722.28,52.76,TRADE
NSW1,01-07-18 14:00,7752,58.51,TRADE
NSW1,01-07-18 14:30,7780.63,55.79,TRADE
NSW1,01-07-18 15:00,7973.6,55.91,TRADE
NSW1,01-07-18 15:30,8156.72,61.8,TRADE
NSW1,01-07-18 16:00,8540.23,68.05,TRADE
NSW1,01-07-18 16:30,9027.38,77.08,TRADE
NSW1,01-07-18 17:00,9561.02,90.85,TRADE
NSW1,01-07-18 17:30,10250.11,162.46,TRADE
NSW1,01-07-18 18:00,10754.2,124.23,TRADE
NSW1,01-07-18 18:30,10829.9,120.54,TRADE
NSW1,01-07-18 19:00,10741.15,99.64,TRADE
NSW1,01-07-18 19:30,10472.35,86,TRADE
NSW1,01-07-18 20:00,10255.36,88.13,TRADE
NSW1,01-07-18 20:30,10046.05,86.47,TRADE
NSW1,01-07-18 21:00,9857.23,81.39,TRADE
NSW1,01-07-18 21:30,9484.71,77.54,TRADE
NSW1,01-07-18 22:00,9206.73,71.8,TRADE
NSW1,01-07-18 22:30,8964.27,72.91,TRADE
NSW1,01-07-18 23:00,8615.52,67.5,TRADE
NSW1,01-07-18 23:30,8471.41,66.88,TRADE
NSW1,02-07-18 0:00,8205.2,61.95,TRADE
NSW1,02-07-18 0:30,7933.55,61.04,TRADE
NSW1,02-07-18 1:00,7700.41,56.74,TRADE
NSW1,02-07-18 1:30,7568.65,59.85,TRADE
NSW1,02-07-18 2:00,7379.07,57,TRADE
NSW1,02-07-18 2:30,7080.82,54.31,TRADE
NSW1,02-07-18 3:00,6935.38,54.1,TRADE
NSW1,02-07-18 3:30,6810.31,52.12,TRADE
NSW1,02-07-18 4:00,6735.89,51.31,TRADE
NSW1,02-07-18 4:30,6826.38,57.94,TRADE
NSW1,02-07-18 5:00,6983.58,59.28,TRADE
NSW1,02-07-18 5:30,7345.26,59.34,TRADE
NSW1,02-07-18 6:00,7791.01,60.95,TRADE
NSW1,02-07-18 6:30,8566.5,72.68,TRADE
NSW1,02-07-18 7:00,9320.48,80.49,TRADE
NSW1,02-07-18 7:30,9883.51,85.61,TRADE
NSW1,02-07-18 8:00,10214.32,202.81,TRADE
NSW1,02-07-18 8:30,10299.65,112.11,TRADE
NSW1,02-07-18 9:00,10108.42,101.14,TRADE
NSW1,02-07-18 9:30,9976.27,105.78,TRADE
NSW1,02-07-18 10:00,9779.86,88.85,TRADE
NSW1,02-07-18 10:30,9632.22,86.36,TRADE
NSW1,02-07-18 11:00,9397.82,80.1,TRADE
NSW1,02-07-18 11:30,9232.97,78.42,TRADE
NSW1,02-07-18 12:00,9058.47,71.52,TRADE
