REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,01-01-18 0:30,6912.25,91.86
NSW1,01-01-19 0:30,7457.58,66.95
NSW1,01-01-18 1:00,6745.63,88.83
NSW1,01-01-19 1:00,7243.21,69.33
NSW1,01-01-18 1:30,6466.06,73.62
NSW1,01-01-19 1:30,6918.55,72.8
NSW1,01-01-18 2:00,6279.8,71.49
NSW1,01-01-19 2:00,6676.58,70.31
NSW1,01-01-18 2:30,6177.31,69.27
NSW1,01-01-19 2:30,6513.24,66.98
NSW1,01-01-18 3:00,6050.43,68.44
NSW1,01-01-19 3:00,6400,63.87
NSW1,01-01-18 3:30,6032.48,69.67
NSW1,01-01-19 3:30,6317.4,62.2
NSW1,01-01-18 4:00,5968.5,67.58
NSW1,01-01-19 4:00,6242.08,50.22
NSW1,01-01-18 4:30,5953.75,67.09
NSW1,01-01-19 4:30,6229.28,53.75
NSW1,01-01-18 5:00,5962.18,67.53
NSW1,01-01-19 5:00,6198.13,50.29
NSW1,01-01-18 5:30,5991.69,65.8
NSW1,01-01-19 5:30,6241.44,47.59
NSW1,01-01-18 6:00,6062.03,61.53
NSW1,01-01-19 6:00,6290.89,48.63
NSW1,01-01-18 6:30,6204.87,66.62
NSW1,01-01-19 6:30,6415.2,53.17
NSW1,01-01-18 7:00,6352.58,68.42
NSW1,01-01-19 7:00,6508.09,45.82
NSW1,01-01-18 7:30,6548.03,69.02
NSW1,01-01-19 7:30,6749.01,48.96
NSW1,01-01-18 8:00,6728.17,69
NSW1,01-01-19 8:00,6920.99,52.18
NSW1,01-01-18 8:30,6885.22,68.88
NSW1,01-01-19 8:30,7208.88,48.21
NSW1,01-01-18 9:00,7080.7,69.22
NSW1,01-01-19 9:00,7441.69,53.69
NSW1,01-01-18 9:30,7281.71,74.04
NSW1,01-01-19 9:30,7711.7,61.01
NSW1,01-01-18 10:00,7474.62,75.15
NSW1,01-01-19 10:00,7995.99,59.08
NSW1,01-01-18 10:30,7663.88,75.2
NSW1,01-01-19 10:30,8241.91,66.33
NSW1,01-01-18 11:00,7764.89,80.66
NSW1,01-01-19 11:00,8448.3,68.42
NSW1,01-01-18 11:30,7813.63,77.93
NSW1,01-01-19 11:30,8662.51,77.27
NSW1,01-01-18 12:00,7815.47,71.48
NSW1,01-01-19 12:00,8903.65,89.49
NSW1,01-01-18 12:30,7804.96,70.47
NSW1,01-01-19 12:30,9098.25,91.87
NSW1,01-01-18 13:00,7901.26,76.55
NSW1,01-01-19 13:00,9261.03,91.87
NSW1,01-01-18 13:30,7938.72,83.84
NSW1,01-01-19 13:30,9438.9,96.62
NSW1,01-01-18 14:00,8000.7,85.14
NSW1,01-01-19 14:00,9618.07,95.5
NSW1,01-01-18 14:30,8090.72,84.88
NSW1,01-01-19 14:30,9761.39,95.8
NSW1,01-01-18 15:00,8210.88,82.54
NSW1,01-01-19 15:00,9932.58,92.96
NSW1,01-01-18 15:30,8365.1,87.06
NSW1,01-01-19 15:30,10088.02,91.35
NSW1,01-01-18 16:00,8512.21,95.05
NSW1,01-01-19 16:00,10242.97,107.51
NSW1,01-01-18 16:30,8601.46,90.84
NSW1,01-01-19 16:30,10398.45,101.87
NSW1,01-01-18 17:00,8747.49,91.46
NSW1,01-01-19 17:00,10562.71,90.78
NSW1,01-01-18 17:30,8693.3,81.83
NSW1,01-01-19 17:30,10612.81,93.91
NSW1,01-01-18 18:00,8672.52,79.93
NSW1,01-01-19 18:00,10522.14,116.02
NSW1,01-01-18 18:30,8531.94,72.77
NSW1,01-01-19 18:30,10333.52,123.43
NSW1,01-01-18 19:00,8279.37,74.45
NSW1,01-01-19 19:00,10063.53,131.15
NSW1,01-01-18 19:30,8189.38,71.73
NSW1,01-01-19 19:30,9801.12,112.5
NSW1,01-01-18 20:00,8161.52,76.95
NSW1,01-01-19 20:00,9696.41,98.72
NSW1,01-01-18 20:30,8122.2,78.91
NSW1,01-01-19 20:30,9474.14,103.01
NSW1,01-01-18 21:00,7957.58,69.42
NSW1,01-01-19 21:00,9220.31,98.46
NSW1,01-01-18 21:30,7860.28,71.31
NSW1,01-01-19 21:30,8956.15,90.3
NSW1,01-01-18 22:00,7648.52,66.1
NSW1,01-01-19 22:00,8574.7,71.58
NSW1,01-01-18 22:30,7567.13,65.72
NSW1,01-01-19 22:30,8412.75,103.54
NSW1,01-01-18 23:00,7336.37,62.37
NSW1,01-01-19 23:00,8118.29,77.85
NSW1,01-01-18 23:30,7123.26,62.84
NSW1,01-01-19 23:30,7839.53,74.77
NSW1,02-01-18 0:00,6989.32,58.48
NSW1,02-01-19 0:00,7633.77,77.3
NSW1,02-01-18 0:30,6815.38,56.73
NSW1,02-01-19 0:30,7361,75.45
NSW1,02-01-18 1:00,6590.78,56.88
NSW1,02-01-19 1:00,7136.01,62.53
NSW1,02-01-18 1:30,6290.12,53.73
NSW1,02-01-19 1:30,6840.9,59.47
NSW1,02-01-18 2:00,6139.77,55.07
NSW1,02-01-19 2:00,6624.94,45.77
NSW1,02-01-18 2:30,6030.56,53.74
NSW1,02-01-19 2:30,6481.67,46.45
NSW1,02-01-18 3:00,5986.37,54.98
NSW1,02-01-19 3:00,6426.5,56.44
NSW1,02-01-18 3:30,5986.86,54.98
NSW1,02-01-19 3:30,6431.29,59.42
NSW1,02-01-18 4:00,6013.38,54.98
NSW1,02-01-19 4:00,6466.94,63.42
NSW1,02-01-18 4:30,6198.13,52.47
NSW1,02-01-19 4:30,6616.06,66.01
NSW1,02-01-18 5:00,6271.44,66.62
NSW1,02-01-19 5:00,6686.19,65.71
NSW1,02-01-18 5:30,6557.23,66.89
NSW1,02-01-19 5:30,6963.81,71.59
NSW1,02-01-18 6:00,6847.25,67.29
NSW1,02-01-19 6:00,7234.55,84.19
NSW1,02-01-18 6:30,7155.88,66.02
NSW1,02-01-19 6:30,7545.75,91.97
NSW1,02-01-18 7:00,7484.5,72.28
NSW1,02-01-19 7:00,7819.46,93.95
NSW1,02-01-18 7:30,7720.92,68.82
NSW1,02-01-19 7:30,8102.21,95.32
NSW1,02-01-18 8:00,7958.55,70.86
NSW1,02-01-19 8:00,8342.44,100.6
NSW1,02-01-18 8:30,8151.75,76.01
NSW1,02-01-19 8:30,8582.59,92.29
NSW1,02-01-18 9:00,8234.16,80.39
NSW1,02-01-19 9:00,8781.68,91.87
NSW1,02-01-18 9:30,8269.59,77.83
NSW1,02-01-19 9:30,8959.65,93.17
NSW1,02-01-18 10:00,8341.24,73.66
NSW1,02-01-19 10:00,9173.43,91.74
NSW1,02-01-18 10:30,8425.75,76.87
NSW1,02-01-19 10:30,9426.85,106.25
NSW1,02-01-18 11:00,8485.87,80.17
NSW1,02-01-19 11:00,9619.04,102.11
NSW1,02-01-18 11:30,8524.38,80.47
NSW1,02-01-19 11:30,9802.56,98.84
NSW1,02-01-18 12:00,8664.14,84.26
NSW1,02-01-19 12:00,10005.07,122.31
NSW1,02-01-18 12:30,8843.15,85.01
NSW1,02-01-19 12:30,10136.4,113.11
NSW1,02-01-18 13:00,8968.42,83.71
NSW1,02-01-19 13:00,10342.06,186.8
NSW1,02-01-18 13:30,9074.74,89.59
NSW1,02-01-19 13:30,10521.07,112.15
NSW1,02-01-18 14:00,9176.26,84.79
NSW1,02-01-19 14:00,10716.78,110.53
NSW1,02-01-18 14:30,9191.54,86.58
NSW1,02-01-19 14:30,10942.52,120.82
NSW1,02-01-18 15:00,9254.81,83.04
NSW1,02-01-19 15:00,10901.94,108.24
NSW1,02-01-18 15:30,9395.79,94.22
NSW1,02-01-19 15:30,10754.86,92.61
NSW1,02-01-18 16:00,9340.21,83.62
NSW1,02-01-19 16:00,10724.06,90.63
NSW1,02-01-18 16:30,9278.8,86.68
