REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,06-04-18 0:00,7611.37,82.68
NSW1,06-04-18 0:30,7391.96,79.84
NSW1,06-04-18 1:00,7173.78,65.24
NSW1,06-04-18 1:30,6949.83,61.5
NSW1,06-04-18 2:00,6730.49,58.62
NSW1,06-04-18 2:30,6472.37,54.62
NSW1,06-04-18 3:00,6270.44,56.54
NSW1,06-04-18 3:30,6132.37,51.57
NSW1,06-04-18 4:00,6097.7,51.85
NSW1,06-04-18 4:30,6178.59,51.03
NSW1,06-04-18 5:00,6240.64,61.36
NSW1,06-04-18 5:30,6497.53,70.44
NSW1,06-04-18 6:00,6845.62,67.13
NSW1,06-04-18 6:30,7283.73,70.42
NSW1,06-04-18 7:00,7700.87,88.18
NSW1,06-04-18 7:30,7905.63,90.06
NSW1,06-04-18 8:00,8113.87,95.18
NSW1,06-04-18 8:30,8242.44,95.82
NSW1,06-04-18 9:00,8273.48,95.11
NSW1,06-04-18 9:30,8366.16,87.94
NSW1,06-04-18 10:00,8403.36,90.01
NSW1,06-04-18 10:30,8477.22,95.38
NSW1,06-04-18 11:00,8473.42,95.51
NSW1,06-04-18 11:30,8373.71,103.08
NSW1,06-04-18 12:00,8410.97,98.82
NSW1,06-04-18 12:30,8482.5,90.01
NSW1,06-04-18 13:00,8481.71,93.41
NSW1,06-04-18 13:30,8593.31,92.99
NSW1,06-04-18 14:00,8654.71,91.23
NSW1,06-04-18 14:30,8849.85,94.66
NSW1,06-04-18 15:00,8926.92,92.57
NSW1,06-04-18 15:30,9030.1,102.07
NSW1,06-04-18 16:00,9092.48,133.55
NSW1,06-04-18 16:30,9144.78,130.63
NSW1,06-04-18 17:00,9118.03,109.2
NSW1,06-04-18 17:30,9053.05,109.28
NSW1,06-04-18 18:00,9052.1,117.68
NSW1,06-04-18 18:30,9038.89,132.41
NSW1,06-04-18 19:00,8912.63,109.74
NSW1,06-04-18 19:30,8611.89,89.67
NSW1,06-04-18 20:00,8387.16,83.27
NSW1,06-04-18 20:30,8197.89,81.04
NSW1,06-04-18 21:00,8027.6,74.78
NSW1,06-04-18 21:30,7914,73.98
NSW1,06-04-18 22:00,7785.12,73.4
NSW1,06-04-18 22:30,7802.01,76.33
NSW1,06-04-18 23:00,7690.66,75.73
NSW1,06-04-18 23:30,7652.23,77.3
NSW1,13-04-18 0:00,7597.82,58.7
NSW1,13-04-18 0:30,7434.15,63.01
NSW1,13-04-18 1:00,7189.97,57.73
NSW1,13-04-18 1:30,7002.77,59.26
NSW1,13-04-18 2:00,6748.37,56.61
NSW1,13-04-18 2:30,6435.15,58.55
