REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,05-10-18 0:00,7801.36,65.81,
NSW1,05-10-18 0:30,7627.56,63.9,
NSW1,05-10-18 1:00,7404.88,60.42,
NSW1,05-10-18 1:30,7156.49,59.86,
NSW1,05-10-18 2:00,6967.97,65.78,
NSW1,05-10-18 2:30,6658.77,60.28,
NSW1,05-10-18 3:00,6359.15,59.76,
NSW1,05-10-18 3:30,6266.59,59.7,
NSW1,05-10-18 4:00,6195.84,58.35,
NSW1,05-10-18 4:30,6183.87,55.12,
NSW1,05-10-18 5:00,6335.72,61.12,
NSW1,05-10-18 5:30,6607.6,62.02,
NSW1,05-10-18 6:00,6859.83,60.1,
NSW1,05-10-18 6:30,7291.39,67.73,
NSW1,05-10-18 7:00,7689.16,73.59,
NSW1,05-10-18 7:30,7869.1,76.44,
NSW1,05-10-18 8:00,8072.55,96.86,
NSW1,05-10-18 8:30,8251.32,138.65,
NSW1,05-10-18 9:00,8364.1,118.41,
NSW1,05-10-18 9:30,8468.48,98.76,
NSW1,05-10-18 10:00,8441.77,75.45,
NSW1,05-10-18 10:30,8457.45,82.62,
NSW1,05-10-18 11:00,8421.3,95.02,
NSW1,05-10-18 11:30,8332.36,113.24,
NSW1,05-10-18 12:00,8294.74,103.35,
NSW1,05-10-18 12:30,8248.2,119.85,
NSW1,05-10-18 13:00,8193.21,95.18,
NSW1,05-10-18 13:30,8129.15,80.13,
NSW1,05-10-18 14:00,8152.57,118.18,
NSW1,05-10-18 14:30,8144.73,89.96,
NSW1,05-10-18 15:00,8212.85,93.73,
NSW1,05-10-18 15:30,8239.51,83.97,
NSW1,05-10-18 16:00,8353.87,100.01,
NSW1,05-10-18 16:30,8483.29,84.49,
NSW1,05-10-18 17:00,8726.51,69.92,
NSW1,05-10-18 17:30,8894.05,101.33,
NSW1,05-10-18 18:00,9244.67,157.71,
NSW1,05-10-18 18:30,9412.67,163.92,
NSW1,05-10-18 19:00,9442.25,267.18,
NSW1,05-10-18 19:30,9210.25,141.11,
NSW1,05-10-18 20:00,8978.78,113.19,
NSW1,05-10-18 20:30,8868.12,121.47,
NSW1,05-10-18 21:00,8720.49,111.83,
NSW1,05-10-18 21:30,8525.2,113,
NSW1,05-10-18 22:00,8330.73,82.33,
NSW1,05-10-18 22:30,8390.53,126.85,
NSW1,05-10-18 23:00,8174.33,88.11,
NSW1,05-10-18 23:30,8079.68,112.83,
NSW1,12-10-18 0:00,7689.36,65.96,
NSW1,12-10-18 0:30,7498.28,60.67,
NSW1,12-10-18 1:00,7322.36,57.27,
NSW1,12-10-18 1:30,6983.69,58.31,
NSW1,12-10-18 2:00,6705.82,59.77,
NSW1,12-10-18 2:30,6473.59,55.57,
NSW1,12-10-18 3:00,6324.41,53.91,
NSW1,12-10-18 3:30,6263.2,57.07,
NSW1,12-10-18 4:00,6346.41,59.63,
NSW1,12-10-18 4:30,6579,59.85,
NSW1,12-10-18 5:00,6897.58,60.16,
NSW1,12-10-18 5:30,7439.13,69.39,
NSW1,12-10-18 6:00,7858.95,90.04,
NSW1,12-10-18 6:30,8138.9,88.17,
NSW1,12-10-18 7:00,8429.29,113.06,
NSW1,12-10-18 7:30,8463.49,92.55,
NSW1,12-10-18 8:00,8475.31,85.19,
NSW1,12-10-18 8:30,8424.65,78.63,
NSW1,12-10-18 9:00,8336.4,82.32,
NSW1,12-10-18 9:30,8230.44,73.2,
NSW1,12-10-18 10:00,8120.9,75.46,
NSW1,12-10-18 10:30,8054.42,102.29,
NSW1,12-10-18 11:00,7984.15,90.22,
NSW1,12-10-18 11:30,7853.47,80.02,
NSW1,12-10-18 12:00,7821.09,79.36,
NSW1,12-10-18 12:30,7697.15,73.92,
NSW1,12-10-18 13:00,7664.12,75.35,
NSW1,12-10-18 13:30,7636.81,83.09,
NSW1,12-10-18 14:00,7592.44,102.26,
NSW1,12-10-18 14:30,7653.66,84.67,
NSW1,12-10-18 15:00,7714.91,81.32,
NSW1,12-10-18 15:30,7869.54,70.75,
NSW1,12-10-18 16:00,8050.04,75.13,
NSW1,12-10-18 16:30,8192.77,87.18,
NSW1,12-10-18 17:00,8413.14,94.94,
NSW1,12-10-18 17:30,8532.48,104.24,
NSW1,12-10-18 18:00,8713.37,87.74,
NSW1,12-10-18 18:30,8855.62,107.26,
NSW1,12-10-18 19:00,8908.46,119.23,
NSW1,12-10-18 19:30,8751.6,120.17,
NSW1,12-10-18 20:00,8589.72,110.79,
NSW1,12-10-18 20:30,8405.96,89.29,
NSW1,12-10-18 21:00,8195.98,87.15,
NSW1,12-10-18 21:30,8157.69,115.4,
NSW1,12-10-18 22:00,8065.48,96.21,
NSW1,12-10-18 22:30,8048.2,149.91,
NSW1,12-10-18 23:00,7923.24,148.62,
NSW1,12-10-18 23:30,7764.08,110.58,
NSW1,19-10-18 0:00,7256.79,197.23,
NSW1,19-10-18 0:30,7084.3,114.49,
NSW1,19-10-18 1:00,6945.31,119.95,
NSW1,19-10-18 1:30,6632.34,94.38,
NSW1,19-10-18 2:00,6404.23,151.51,
NSW1,19-10-18 2:30,6239.85,109.76,
