REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,01-10-18 0:00,7193.01,61.72,
NSW1,01-10-18 0:30,7003.98,60.85,
NSW1,01-10-18 1:00,6876.73,60.34,
NSW1,01-10-18 1:30,6683.01,60.76,
NSW1,01-10-18 2:00,6515.86,61.06,
NSW1,01-10-18 2:30,6236.56,56.94,
NSW1,01-10-18 3:00,6081.45,56.21,
NSW1,01-10-18 3:30,5949.49,62.09,
NSW1,01-10-18 4:00,5919.57,59.5,
NSW1,01-10-18 4:30,5870.14,58.31,
NSW1,01-10-18 5:00,5912.75,61.1,
NSW1,01-10-18 5:30,6050.22,58.55,
NSW1,01-10-18 6:00,6109.34,59.95,
NSW1,01-10-18 6:30,6325.79,64.68,
NSW1,01-10-18 7:00,6328.18,58.54,
NSW1,01-10-18 7:30,6302.89,48.34,
NSW1,01-10-18 8:00,6341.84,56.02,
NSW1,01-10-18 8:30,6462.26,66.34,
NSW1,01-10-18 9:00,6457.92,65.59,
NSW1,01-10-18 9:30,6422.19,60.49,
NSW1,01-10-18 10:00,6406.6,66.73,
NSW1,01-10-18 10:30,6422.09,67.79,
NSW1,01-10-18 11:00,6330.75,64.58,
NSW1,01-10-18 11:30,6255.83,63.21,
NSW1,01-10-18 12:00,6205.95,60.4,
NSW1,01-10-18 12:30,6162.84,60.48,
NSW1,01-10-18 13:00,6100.09,61.37,
NSW1,01-10-18 13:30,6051.72,62.55,
NSW1,01-10-18 14:00,6037.74,62.55,
NSW1,01-10-18 14:30,6091.29,62.79,
NSW1,01-10-18 15:00,6190.45,59.87,
NSW1,01-10-18 15:30,6302.79,60.12,
NSW1,01-10-18 16:00,6525.72,64.2,
NSW1,01-10-18 16:30,6782.93,63.36,
NSW1,01-10-18 17:00,7068.46,66.36,
NSW1,01-10-18 17:30,7325.44,109.75,
NSW1,01-10-18 18:00,7741.26,106.11,
NSW1,01-10-18 18:30,8177.56,150.25,
NSW1,01-10-18 19:00,8365.99,223.38,
NSW1,01-10-18 19:30,8178.52,107.65,
NSW1,01-10-18 20:00,7998.59,82.56,
NSW1,01-10-18 20:30,7929.92,74.14,
NSW1,01-10-18 21:00,7767.48,69.06,
NSW1,01-10-18 21:30,7660.78,67.83,
NSW1,01-10-18 22:00,7516.72,68.78,
NSW1,01-10-18 22:30,7553.76,77.68,
NSW1,01-10-18 23:00,7441.58,70.78,
NSW1,01-10-18 23:30,7376.64,68.21,
NSW1,08-10-18 0:00,6863.36,65.62,
NSW1,08-10-18 0:30,6650.9,57.02,
NSW1,08-10-18 1:00,6557.21,60.07,
NSW1,08-10-18 1:30,6281.62,60.68,
NSW1,08-10-18 2:00,6136.74,63.57,
NSW1,08-10-18 2:30,6051.97,57.27,
NSW1,08-10-18 3:00,5961.9,58.91,
NSW1,08-10-18 3:30,5998.76,59.37,
NSW1,08-10-18 4:00,6048.17,58.6,
NSW1,08-10-18 4:30,6285.82,58.87,
NSW1,08-10-18 5:00,6536.64,59.92,
NSW1,08-10-18 5:30,7070.27,71.33,
NSW1,08-10-18 6:00,7495.55,81.83,
NSW1,08-10-18 6:30,7889.4,87.88,
NSW1,08-10-18 7:00,8022.94,84.71,
NSW1,08-10-18 7:30,8066.34,72.17,
NSW1,08-10-18 8:00,8059.79,77.02,
NSW1,08-10-18 8:30,8125.29,86.22,
NSW1,08-10-18 9:00,7984.85,74.24,
NSW1,08-10-18 9:30,7951.4,64.78,
NSW1,08-10-18 10:00,7824,59.86,
NSW1,08-10-18 10:30,7774.09,62.59,
NSW1,08-10-18 11:00,7683.31,63.51,
NSW1,08-10-18 11:30,7591.82,64.9,
NSW1,08-10-18 12:00,7539.89,59.28,
NSW1,08-10-18 12:30,7465,64.3,
NSW1,08-10-18 13:00,7438.8,68.91,
NSW1,08-10-18 13:30,7426.92,69.99,
NSW1,08-10-18 14:00,7493.22,87.4,
NSW1,08-10-18 14:30,7411.92,96.36,
NSW1,08-10-18 15:00,7524.15,89.84,
NSW1,08-10-18 15:30,7649.87,79.67,
NSW1,08-10-18 16:00,7711.75,100.83,
NSW1,08-10-18 16:30,7873.6,101.49,
NSW1,08-10-18 17:00,8031.61,112.65,
NSW1,08-10-18 17:30,8259.77,114.67,
NSW1,08-10-18 18:00,8475.37,125.56,
NSW1,08-10-18 18:30,8621.05,117.43,
NSW1,08-10-18 19:00,8658.05,121.72,
NSW1,08-10-18 19:30,8426.45,94.49,
NSW1,08-10-18 20:00,8265.44,103.65,
NSW1,08-10-18 20:30,8117.01,103.2,
NSW1,08-10-18 21:00,7958.79,95.58,
NSW1,08-10-18 21:30,7860.15,83.87,
NSW1,08-10-18 22:00,7780.53,94.73,
NSW1,08-10-18 22:30,7779.52,118.87,
NSW1,08-10-18 23:00,7625.84,84.01,
NSW1,08-10-18 23:30,7536.34,78.92,
NSW1,15-10-18 0:00,6715.45,60.49,
NSW1,15-10-18 0:30,6582.09,52.71,
NSW1,15-10-18 1:00,6418.46,49.85,
NSW1,15-10-18 1:30,6234.37,52.06,
NSW1,15-10-18 2:00,6112.2,52.06,
NSW1,15-10-18 2:30,5994.1,51.29,
NSW1,15-10-18 3:00,5920.8,52.48,
NSW1,15-10-18 3:30,5929.7,51.31,
NSW1,15-10-18 4:00,6034.42,53.2,
NSW1,15-10-18 4:30,6278.61,52.49,
NSW1,15-10-18 5:00,6594.32,60.87,
NSW1,15-10-18 5:30,7131.38,152.6,
NSW1,15-10-18 6:00,7672.07,112.28,
NSW1,15-10-18 6:30,7904.09,103.52,
NSW1,15-10-18 7:00,8117.06,109.31,
NSW1,15-10-18 7:30,8126.28,100.77,
NSW1,15-10-18 8:00,8059.55,68.46,
NSW1,15-10-18 8:30,8057.37,67.03,
NSW1,15-10-18 9:00,8044.27,68.07,
NSW1,15-10-18 9:30,8030.66,69.99,
NSW1,15-10-18 10:00,7919.18,64.73,
NSW1,15-10-18 10:30,7884.23,66.54,
NSW1,15-10-18 11:00,7765.57,68.19,
NSW1,15-10-18 11:30,7728.82,67.83,
NSW1,15-10-18 12:00,7748.47,72.51,
NSW1,15-10-18 12:30,7744.54,92.01,
NSW1,15-10-18 13:00,7654.27,91.61,
NSW1,15-10-18 13:30,7589.04,74.47,
NSW1,15-10-18 14:00,7569.96,81.1,
NSW1,15-10-18 14:30,7565.8,74.43,
NSW1,15-10-18 15:00,7696.8,74.77,
NSW1,15-10-18 15:30,7833.34,76.83,
NSW1,15-10-18 16:00,7961.59,91.54,
