REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,07-04-18 0:00,7535.28,73.8
NSW1,07-04-18 0:30,7405.43,70.38
NSW1,07-04-18 1:00,7166.43,60.5
NSW1,07-04-18 1:30,6919.11,57.23
NSW1,07-04-18 2:00,6675.12,65.39
NSW1,07-04-18 2:30,6382.42,63.45
NSW1,07-04-18 3:00,6205.9,62.72
NSW1,07-04-18 3:30,6101.48,59.39
NSW1,07-04-18 4:00,6025.8,54.43
NSW1,07-04-18 4:30,6005.77,54.74
NSW1,07-04-18 5:00,5985.48,57.25
NSW1,07-04-18 5:30,6169.21,55.93
NSW1,07-04-18 6:00,6265.05,59.58
NSW1,07-04-18 6:30,6474.04,61.73
NSW1,07-04-18 7:00,6633.62,62.58
NSW1,07-04-18 7:30,6798.31,67.42
NSW1,07-04-18 8:00,7043.27,64.88
NSW1,07-04-18 8:30,7295.45,63.88
NSW1,07-04-18 9:00,7437.26,68.18
NSW1,07-04-18 9:30,7591.28,71.88
NSW1,07-04-18 10:00,7573.4,68.41
NSW1,07-04-18 10:30,7579.47,68.46
NSW1,07-04-18 11:00,7584.23,71.24
NSW1,07-04-18 11:30,7598.49,70.54
NSW1,07-04-18 12:00,7571.61,68.38
NSW1,07-04-18 12:30,7550.2,69.75
NSW1,07-04-18 13:00,7647.51,69.02
NSW1,07-04-18 13:30,7702.46,72.27
NSW1,07-04-18 14:00,7784.24,75.26
NSW1,07-04-18 14:30,7926.05,76.2
NSW1,07-04-18 15:00,8039.72,85.38
NSW1,07-04-18 15:30,8199.84,95.08
NSW1,07-04-18 16:00,8415.47,98.89
NSW1,07-04-18 16:30,8543.22,115.13
NSW1,07-04-18 17:00,8604.43,132.97
NSW1,07-04-18 17:30,8536.39,111.75
NSW1,07-04-18 18:00,8622.29,147.05
NSW1,07-04-18 18:30,8831.19,299.6
NSW1,07-04-18 19:00,8689.81,167.12
NSW1,07-04-18 19:30,8490.85,108.79
NSW1,07-04-18 20:00,8254.11,103
NSW1,07-04-18 20:30,8043.28,98.18
NSW1,07-04-18 21:00,7945.88,90.22
NSW1,07-04-18 21:30,7812.82,78.99
NSW1,07-04-18 22:00,7658.68,76.75
NSW1,07-04-18 22:30,7610.11,79.52
NSW1,07-04-18 23:00,7413.51,75.29
NSW1,07-04-18 23:30,7284.25,86.93
NSW1,14-04-18 0:00,7727,61.67
NSW1,14-04-18 0:30,7452.87,57.87
NSW1,14-04-18 1:00,7178.19,61.3
NSW1,14-04-18 1:30,6988.32,49.16
NSW1,14-04-18 2:00,6724.71,55.89
NSW1,14-04-18 2:30,6393.91,51.44
NSW1,14-04-18 3:00,6247.53,52.51
NSW1,14-04-18 3:30,6081.02,46.03
NSW1,14-04-18 4:00,6010.54,38.74
NSW1,14-04-18 4:30,6021.57,42.22
NSW1,14-04-18 5:00,6034.97,42.02
NSW1,14-04-18 5:30,6098.09,31.59
NSW1,14-04-18 6:00,6177.91,37.36
NSW1,14-04-18 6:30,6397.09,59.9
NSW1,14-04-18 7:00,6547.18,61.19
NSW1,14-04-18 7:30,6758.83,56.38
NSW1,14-04-18 8:00,7019.37,61.16
NSW1,14-04-18 8:30,7215.73,62.63
NSW1,14-04-18 9:00,7301.98,62.58
NSW1,14-04-18 9:30,7461.72,66.43
NSW1,14-04-18 10:00,7471.47,63.51
NSW1,14-04-18 10:30,7499.97,62.15
NSW1,14-04-18 11:00,7490.03,63.53
NSW1,14-04-18 11:30,7517.33,61.62
NSW1,14-04-18 12:00,7597.22,68.31
NSW1,14-04-18 12:30,7631.26,64.24
NSW1,14-04-18 13:00,7731.34,62.62
NSW1,14-04-18 13:30,7773.87,62.38
NSW1,14-04-18 14:00,7938.09,64.18
NSW1,14-04-18 14:30,7945.67,55.47
NSW1,14-04-18 15:00,8055.94,65.74
NSW1,14-04-18 15:30,8119.01,64.35
NSW1,14-04-18 16:00,8310.49,112.75
NSW1,14-04-18 16:30,8412.92,76.06
NSW1,14-04-18 17:00,8425.63,72.63
NSW1,14-04-18 17:30,8265.32,63.45
NSW1,14-04-18 18:00,8414.68,83.15
NSW1,14-04-18 18:30,8608.08,77.61
NSW1,14-04-18 19:00,8424.14,65.42
NSW1,14-04-18 19:30,8255.09,62.14
NSW1,14-04-18 20:00,7986.98,63.89
NSW1,14-04-18 20:30,7877.18,61.71
NSW1,14-04-18 21:00,7754.46,51.26
NSW1,14-04-18 21:30,7573.59,56.52
NSW1,14-04-18 22:00,7337.9,54.27
NSW1,14-04-18 22:30,7267.78,68.13
NSW1,14-04-18 23:00,7161.2,60.22
NSW1,14-04-18 23:30,7079.51,54.33
NSW1,21-04-18 0:00,7417.22,73.64
NSW1,21-04-18 0:30,7220.38,66.47
NSW1,21-04-18 1:00,7009.87,61.37
NSW1,21-04-18 1:30,6761.84,63.13
NSW1,21-04-18 2:00,6514.79,69.26
NSW1,21-04-18 2:30,6298.29,68.72
NSW1,21-04-18 3:00,6035.4,68.45
NSW1,21-04-18 3:30,5928.05,68.55
NSW1,21-04-18 4:00,5846.78,67.3
NSW1,21-04-18 4:30,5807.82,65.23
NSW1,21-04-18 5:00,5811.71,55.22
NSW1,21-04-18 5:30,5898.5,58
NSW1,21-04-18 6:00,6017.16,62.42
NSW1,21-04-18 6:30,6249.44,67.62
NSW1,21-04-18 7:00,6437.52,73.18
NSW1,21-04-18 7:30,6638.67,72.6
NSW1,21-04-18 8:00,6855.43,73.13
NSW1,21-04-18 8:30,7043.61,69.61
NSW1,21-04-18 9:00,7145.06,70.72
NSW1,21-04-18 9:30,7296.79,76.72
NSW1,21-04-18 10:00,7269.33,71.2
NSW1,21-04-18 10:30,7354.67,73.46
NSW1,21-04-18 11:00,7344.71,70.25
NSW1,21-04-18 11:30,7296.54,70.72
NSW1,21-04-18 12:00,7212.68,70.41
NSW1,21-04-18 12:30,7227.43,68.95
NSW1,21-04-18 13:00,7223.44,68.96
NSW1,21-04-18 13:30,7189.91,70.24
NSW1,21-04-18 14:00,7181.65,75.08
NSW1,21-04-18 14:30,7213.86,74.95
NSW1,21-04-18 15:00,7177.78,71.24
NSW1,21-04-18 15:30,7221.6,73.39
NSW1,21-04-18 16:00,7345.3,68.05
NSW1,21-04-18 16:30,7398.45,67.19
NSW1,21-04-18 17:00,7553.41,73.86
NSW1,21-04-18 17:30,7619.39,72.9
NSW1,21-04-18 18:00,8019.21,80.78
NSW1,21-04-18 18:30,8060.04,82.44
NSW1,21-04-18 19:00,7825.29,70.25
NSW1,21-04-18 19:30,7624.55,66.57
NSW1,21-04-18 20:00,7450.28,68.64
NSW1,21-04-18 20:30,7330.57,68.35
