REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,06-10-18 0:00,8040.63,124.18,
NSW1,06-10-18 0:30,7859.32,116.71,
NSW1,06-10-18 1:00,7666.99,82.03,
NSW1,06-10-18 1:30,7379.67,73.41,
NSW1,06-10-18 2:00,7135.17,70.9,
NSW1,06-10-18 2:30,6772.17,73.11,
NSW1,06-10-18 3:00,6529.11,74.8,
NSW1,06-10-18 3:30,6312.41,69.78,
NSW1,06-10-18 4:00,6229.46,66.65,
NSW1,06-10-18 4:30,6181.71,68.04,
NSW1,06-10-18 5:00,6201.08,70.48,
NSW1,06-10-18 5:30,6325.36,75.87,
NSW1,06-10-18 6:00,6381.89,65.89,
NSW1,06-10-18 6:30,6599.69,68.09,
NSW1,06-10-18 7:00,6794.9,67.9,
NSW1,06-10-18 7:30,6972.08,65.28,
NSW1,06-10-18 8:00,7147.22,68.16,
NSW1,06-10-18 8:30,7361.5,73.84,
NSW1,06-10-18 9:00,7526.58,74.59,
NSW1,06-10-18 9:30,7701.22,114.97,
NSW1,06-10-18 10:00,7598.78,96.93,
NSW1,06-10-18 10:30,7581.3,87.37,
NSW1,06-10-18 11:00,7439.77,80.46,
NSW1,06-10-18 11:30,7346.98,74.94,
NSW1,06-10-18 12:00,7214.49,68.97,
NSW1,06-10-18 12:30,7080.7,68.76,
NSW1,06-10-18 13:00,7019.93,65.56,
NSW1,06-10-18 13:30,6939.47,63.54,
NSW1,06-10-18 14:00,6874.64,70.37,
NSW1,06-10-18 14:30,6830.04,72.5,
NSW1,06-10-18 15:00,6892.93,163.8,
NSW1,06-10-18 15:30,6831.9,70.47,
NSW1,06-10-18 16:00,6931.15,63,
NSW1,06-10-18 16:30,7054.68,63.27,
NSW1,06-10-18 17:00,7287.96,64.21,
NSW1,06-10-18 17:30,7464.41,67.48,
NSW1,06-10-18 18:00,7823.61,87.9,
NSW1,06-10-18 18:30,8275.19,168,
NSW1,06-10-18 19:00,8448.55,146.76,
NSW1,06-10-18 19:30,8302.9,83.12,
NSW1,06-10-18 20:00,8168.5,83.93,
NSW1,06-10-18 20:30,8064.89,82.85,
NSW1,06-10-18 21:00,7957.9,86,
NSW1,06-10-18 21:30,7815.29,87.47,
NSW1,06-10-18 22:00,7705.44,77.62,
NSW1,06-10-18 22:30,7670.27,127.61,
NSW1,06-10-18 23:00,7534.45,74.44,
NSW1,06-10-18 23:30,7425,62.71,
NSW1,13-10-18 0:00,7629.85,110.81,
NSW1,13-10-18 0:30,7449.64,82.35,
NSW1,13-10-18 1:00,7211.74,68.48,
NSW1,13-10-18 1:30,6939.72,62.82,
NSW1,13-10-18 2:00,6647.76,64.29,
NSW1,13-10-18 2:30,6380.48,60.02,
NSW1,13-10-18 3:00,6202.96,55.37,
NSW1,13-10-18 3:30,6167.33,59.08,
