REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,06-01-18 0:00,7396.42,61.44
NSW1,06-01-18 0:30,7189.5,61.14
NSW1,06-01-18 1:00,7007.04,56.04
NSW1,06-01-18 1:30,6687.68,53.54
NSW1,06-01-18 2:00,6407.55,49.93
NSW1,06-01-18 2:30,6204.39,47.86
NSW1,06-01-18 3:00,6130.71,50.26
NSW1,06-01-18 3:30,6061.08,48.34
NSW1,06-01-18 4:00,6089.77,47.76
NSW1,06-01-18 4:30,6124.02,54.98
NSW1,06-01-18 5:00,6166.93,52.63
NSW1,06-01-18 5:30,6252.14,54.51
NSW1,06-01-18 6:00,6414.67,49.94
NSW1,06-01-18 6:30,6675.19,54.99
NSW1,06-01-18 7:00,6905.28,55.09
NSW1,06-01-18 7:30,7240.09,56.79
NSW1,06-01-18 8:00,7487.92,57.77
NSW1,06-01-18 8:30,7789.89,58.62
NSW1,06-01-18 9:00,7960.76,59.75
NSW1,06-01-18 9:30,8140.16,59.71
NSW1,06-01-18 10:00,8314.42,67.74
NSW1,06-01-18 10:30,8453.84,65.18
NSW1,06-01-18 11:00,8617,56.83
NSW1,06-01-18 11:30,8755.61,60.14
NSW1,06-01-18 12:00,8970.05,61.6
NSW1,06-01-18 12:30,9182.53,65.47
NSW1,06-01-18 13:00,9348.39,71.03
NSW1,06-01-18 13:30,9556.16,70.26
NSW1,06-01-18 14:00,9777.33,73.55
NSW1,06-01-18 14:30,9950.25,77.66
NSW1,06-01-18 15:00,10157.24,86.7
NSW1,06-01-18 15:30,10338.83,89.49
NSW1,06-01-18 16:00,10509.42,94.77
NSW1,06-01-18 16:30,10578.21,100.03
NSW1,06-01-18 17:00,10658.87,94.58
NSW1,06-01-18 17:30,10660.05,89.25
NSW1,06-01-18 18:00,10657.34,92.52
NSW1,06-01-18 18:30,10503.68,93.01
NSW1,06-01-18 19:00,10318.27,93.64
NSW1,06-01-18 19:30,10093.85,90.67
NSW1,06-01-18 20:00,10036.89,83.52
NSW1,06-01-18 20:30,9855.58,82.1
NSW1,06-01-18 21:00,9528.61,71.18
NSW1,06-01-18 21:30,9265.29,71.51
NSW1,06-01-18 22:00,8969.26,62.67
NSW1,06-01-18 22:30,8730.45,66.2
NSW1,06-01-18 23:00,8405.13,63.63
NSW1,06-01-18 23:30,8034.19,63.81
NSW1,13-01-18 0:00,8247.19,63.35
NSW1,13-01-18 0:30,7992.38,65.78
NSW1,13-01-18 1:00,7713.05,69.76
NSW1,13-01-18 1:30,7247.51,66.62
NSW1,13-01-18 2:00,7041.63,67.36
NSW1,13-01-18 2:30,6886.88,67.68
NSW1,13-01-18 3:00,6759.34,66.29
NSW1,13-01-18 3:30,6698.31,61.45
NSW1,13-01-18 4:00,6680.97,62.77
NSW1,13-01-18 4:30,6727.34,58.67
NSW1,13-01-18 5:00,6728.52,58.64
NSW1,13-01-18 5:30,6868.55,59.56
NSW1,13-01-18 6:00,6973.38,60.47
NSW1,13-01-18 6:30,7249.75,66.89
NSW1,13-01-18 7:00,7537.27,65.71
NSW1,13-01-18 7:30,7847.98,66.29
NSW1,13-01-18 8:00,8107.1,68.29
NSW1,13-01-18 8:30,8438.88,75.83
NSW1,13-01-18 9:00,8532.06,81.74
NSW1,13-01-18 9:30,8722.35,85.65
NSW1,13-01-18 10:00,8905.54,85.56
NSW1,13-01-18 10:30,9052.04,88.76
NSW1,13-01-18 11:00,9224.46,94.3
NSW1,13-01-18 11:30,9284.29,87.92
NSW1,13-01-18 12:00,9461.65,81.74
NSW1,13-01-18 12:30,9538.88,75.69
NSW1,13-01-18 13:00,9556.87,75.35
NSW1,13-01-18 13:30,9550.27,76.47
NSW1,13-01-18 14:00,9462.95,60.89
NSW1,13-01-18 14:30,9524.51,57.24
NSW1,13-01-18 15:00,9485.62,67.83
NSW1,13-01-18 15:30,9504.64,70.24
NSW1,13-01-18 16:00,9511.35,65.58
NSW1,13-01-18 16:30,9322.35,56.59
NSW1,13-01-18 17:00,9232.39,65.17
NSW1,13-01-18 17:30,9138.59,60.71
NSW1,13-01-18 18:00,9015.26,68.03
NSW1,13-01-18 18:30,8812.3,62.09
NSW1,13-01-18 19:00,8577.82,57.54
NSW1,13-01-18 19:30,8423.17,65.18
NSW1,13-01-18 20:00,8455.05,68.9
NSW1,13-01-18 20:30,8327.95,69.08
NSW1,13-01-18 21:00,8146.46,69
NSW1,13-01-18 21:30,8014.96,70.13
NSW1,13-01-18 22:00,7709.23,61.01
NSW1,13-01-18 22:30,7626.08,67.08
NSW1,13-01-18 23:00,7429.9,64.79
NSW1,13-01-18 23:30,7252.44,68.02
NSW1,20-01-18 0:00,7476.92,54.98
NSW1,20-01-18 0:30,7250.85,63.12
NSW1,20-01-18 1:00,6982.02,73.96
NSW1,20-01-18 1:30,6708.9,59.93
NSW1,20-01-18 2:00,6451.81,64.96
NSW1,20-01-18 2:30,6334.72,85.58
NSW1,20-01-18 3:00,6215.9,88.53
NSW1,20-01-18 3:30,6158.42,85.75
NSW1,20-01-18 4:00,6187.01,76.5
