REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,07-01-18 0:00,7729.58,55.05
NSW1,07-01-18 0:30,7415.47,63.84
NSW1,07-01-18 1:00,7216.02,66.54
NSW1,07-01-18 1:30,6899.91,56.17
NSW1,07-01-18 2:00,6684.92,54.99
NSW1,07-01-18 2:30,6564.1,55
NSW1,07-01-18 3:00,6513.63,54.32
NSW1,07-01-18 3:30,6448.53,55
NSW1,07-01-18 4:00,6377.96,54.01
NSW1,07-01-18 4:30,6374.2,53.65
NSW1,07-01-18 5:00,6353.69,50.58
NSW1,07-01-18 5:30,6389.83,53.56
NSW1,07-01-18 6:00,6489.96,54.98
NSW1,07-01-18 6:30,6755.66,54.65
NSW1,07-01-18 7:00,7063.49,55.14
NSW1,07-01-18 7:30,7481.68,59.75
NSW1,07-01-18 8:00,7880.58,64.43
NSW1,07-01-18 8:30,8408.23,68.85
NSW1,07-01-18 9:00,8904.77,68.76
NSW1,07-01-18 9:30,9480.91,69
NSW1,07-01-18 10:00,9915.59,76.31
NSW1,07-01-18 10:30,10297.62,79.51
NSW1,07-01-18 11:00,10632.42,84.41
NSW1,07-01-18 11:30,10833.18,78.16
NSW1,07-01-18 12:00,11019.88,94.91
NSW1,07-01-18 12:30,11227.32,95.42
NSW1,07-01-18 13:00,11415.44,94.28
NSW1,07-01-18 13:30,11538.73,94.55
NSW1,07-01-18 14:00,11630.27,96.5
NSW1,07-01-18 14:30,11751.71,101.55
NSW1,07-01-18 15:00,11883.36,116.13
NSW1,07-01-18 15:30,12022.31,124.22
NSW1,07-01-18 16:00,12098.5,123.01
NSW1,07-01-18 16:30,12084.27,133.41
NSW1,07-01-18 17:00,12230.57,146.69
NSW1,07-01-18 17:30,12021.05,122.89
NSW1,07-01-18 18:00,11788.88,107.37
NSW1,07-01-18 18:30,11379.66,96.76
NSW1,07-01-18 19:00,11025.88,110.4
NSW1,07-01-18 19:30,10699.48,99.37
NSW1,07-01-18 20:00,10500.09,91.93
NSW1,07-01-18 20:30,10241.09,87.21
NSW1,07-01-18 21:00,9788.08,80.59
NSW1,07-01-18 21:30,9444.77,75.01
NSW1,07-01-18 22:00,9135.71,64.41
NSW1,07-01-18 22:30,8828.83,87.88
NSW1,07-01-18 23:00,8448.45,80.17
NSW1,07-01-18 23:30,8085.12,64.73
NSW1,14-01-18 0:00,7063.12,56.98
NSW1,14-01-18 0:30,6902.46,57.19
NSW1,14-01-18 1:00,6732.56,55.81
NSW1,14-01-18 1:30,6463.21,52.12
NSW1,14-01-18 2:00,6214.21,55.21
NSW1,14-01-18 2:30,6073.03,58.11
NSW1,14-01-18 3:00,6058.25,59.18
NSW1,14-01-18 3:30,6033.35,60.21
NSW1,14-01-18 4:00,6035.61,62.67
NSW1,14-01-18 4:30,6034.88,55.79
NSW1,14-01-18 5:00,6058.33,55.07
NSW1,14-01-18 5:30,6092.88,55.09
NSW1,14-01-18 6:00,6107.84,55.08
NSW1,14-01-18 6:30,6268.41,52.46
NSW1,14-01-18 7:00,6391.77,55.59
NSW1,14-01-18 7:30,6545.24,53.66
NSW1,14-01-18 8:00,6623.39,51.05
NSW1,14-01-18 8:30,6760.47,49.55
NSW1,14-01-18 9:00,6775.62,54.98
NSW1,14-01-18 9:30,6776.25,55.01
NSW1,14-01-18 10:00,6787.1,54.65
NSW1,14-01-18 10:30,6680.69,54.1
NSW1,14-01-18 11:00,6678.71,54.81
NSW1,14-01-18 11:30,6689.69,52.96
NSW1,14-01-18 12:00,6591.88,47.01
NSW1,14-01-18 12:30,6600.61,47.93
NSW1,14-01-18 13:00,6609.8,49.35
NSW1,14-01-18 13:30,6613.66,48.62
NSW1,14-01-18 14:00,6610.69,53.97
NSW1,14-01-18 14:30,6717.1,54.67
NSW1,14-01-18 15:00,6792.23,54.98
NSW1,14-01-18 15:30,6874.91,54.98
NSW1,14-01-18 16:00,7075.7,56.38
NSW1,14-01-18 16:30,7127.91,55.69
NSW1,14-01-18 17:00,7247.23,55.44
NSW1,14-01-18 17:30,7405.38,55.46
NSW1,14-01-18 18:00,7479.26,55.38
NSW1,14-01-18 18:30,7455.91,56.47
NSW1,14-01-18 19:00,7424.49,55.56
NSW1,14-01-18 19:30,7475.48,56.26
NSW1,14-01-18 20:00,7608.04,60.48
NSW1,14-01-18 20:30,7492.27,57.03
NSW1,14-01-18 21:00,7301.36,55.5
NSW1,14-01-18 21:30,7221.54,55.82
NSW1,14-01-18 22:00,7168.42,57.32
NSW1,14-01-18 22:30,7087.55,59.33
NSW1,14-01-18 23:00,6930.08,56.64
NSW1,14-01-18 23:30,6798.62,55.27
NSW1,21-01-18 0:00,7311.11,58.17
NSW1,21-01-18 0:30,7136.58,56.32
NSW1,21-01-18 1:00,6958.21,60.45
NSW1,21-01-18 1:30,6690.66,62.08
NSW1,21-01-18 2:00,6506.61,63.35
NSW1,21-01-18 2:30,6373.41,67.22
NSW1,21-01-18 3:00,6317.95,68.84
NSW1,21-01-18 3:30,6205.63,56.99
NSW1,21-01-18 4:00,6197.55,57.08
NSW1,21-01-18 4:30,6257.89,56.67
NSW1,21-01-18 5:00,6265.4,58.3
NSW1,21-01-18 5:30,6340.05,60.31
NSW1,21-01-18 6:00,6371.81,55.44
NSW1,21-01-18 6:30,6590.06,61.56
NSW1,21-01-18 7:00,6768.99,58.95
NSW1,21-01-18 7:30,7037.8,63.18
NSW1,21-01-18 8:00,7273.68,66.84
NSW1,21-01-18 8:30,7468.79,64.33
NSW1,21-01-18 9:00,7678.24,69.86
NSW1,21-01-18 9:30,7912.08,68.99
NSW1,21-01-18 10:00,8049.8,75.97
NSW1,21-01-18 10:30,8214.28,83.87
NSW1,21-01-18 11:00,8448.81,81.83
NSW1,21-01-18 11:30,8555.97,70.29
NSW1,21-01-18 12:00,8802.63,77.03
NSW1,21-01-18 12:30,9052.64,93.44
NSW1,21-01-18 13:00,9170.81,92.39
NSW1,21-01-18 13:30,9350.11,93.72
NSW1,21-01-18 14:00,9562.07,103.23
NSW1,21-01-18 14:30,9796.25,121.46
NSW1,21-01-18 15:00,9953.68,134.99
NSW1,21-01-18 15:30,10106.89,110.85
NSW1,21-01-18 16:00,10306.69,117.75
NSW1,21-01-18 16:30,10335.68,120.36
NSW1,21-01-18 17:00,10487.65,114.04
NSW1,21-01-18 17:30,10462.59,148.64
NSW1,21-01-18 18:00,10467.29,153.31
NSW1,21-01-18 18:30,10208.29,132.63
NSW1,21-01-18 19:00,9928.87,123.46
NSW1,21-01-18 19:30,9788.82,100.38
NSW1,21-01-18 20:00,9662.85,87.25
NSW1,21-01-18 20:30,9372.63,84
NSW1,21-01-18 21:00,9018.96,73.94
NSW1,21-01-18 21:30,8731.9,66.9
NSW1,21-01-18 22:00,8369.95,64.68
NSW1,21-01-18 22:30,8230.96,72.01
NSW1,21-01-18 23:00,7906.78,64.76
NSW1,21-01-18 23:30,7601.69,58.86
NSW1,28-01-18 0:00,7832.44,63.14
NSW1,28-01-18 0:30,7564.27,56.35
NSW1,28-01-18 1:00,7408.02,61.59
NSW1,28-01-18 1:30,7107.76,60.27
