REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,05-04-18 0:00,7548.69,78.18
NSW1,05-04-18 0:30,7325.01,70.36
NSW1,05-04-18 1:00,7121.17,65.03
NSW1,05-04-18 1:30,7001.66,68.53
NSW1,05-04-18 2:00,6748.43,67.95
NSW1,05-04-18 2:30,6454.25,75.83
NSW1,05-04-18 3:00,6293.04,74.4
NSW1,05-04-18 3:30,6206.36,71.59
NSW1,05-04-18 4:00,6159.66,69.87
NSW1,05-04-18 4:30,6240.06,64.63
NSW1,05-04-18 5:00,6283.2,59.89
NSW1,05-04-18 5:30,6588.91,63.34
NSW1,05-04-18 6:00,6892.14,72.34
NSW1,05-04-18 6:30,7288.37,85.12
NSW1,05-04-18 7:00,7700.32,92.03
NSW1,05-04-18 7:30,7915.8,69.79
NSW1,05-04-18 8:00,8073.59,89.35
NSW1,05-04-18 8:30,8238.79,93.21
NSW1,05-04-18 9:00,8302.38,95.6
NSW1,05-04-18 9:30,8424.13,88.66
NSW1,05-04-18 10:00,8511.13,85.21
NSW1,05-04-18 10:30,8540.98,90.37
NSW1,05-04-18 11:00,8547.68,90.05
NSW1,05-04-18 11:30,8483.44,82.78
NSW1,05-04-18 12:00,8562.67,83.42
NSW1,05-04-18 12:30,8667.63,88.27
NSW1,05-04-18 13:00,8705.81,82.13
NSW1,05-04-18 13:30,8813.49,95.39
NSW1,05-04-18 14:00,8955.98,93.7
NSW1,05-04-18 14:30,9051.84,100.2
NSW1,05-04-18 15:00,9184.2,101.26
NSW1,05-04-18 15:30,9270.19,98.66
NSW1,05-04-18 16:00,9454.88,106.03
NSW1,05-04-18 16:30,9468.43,101.46
NSW1,05-04-18 17:00,9505.86,101.41
NSW1,05-04-18 17:30,9396.68,100.17
NSW1,05-04-18 18:00,9498.96,145.2
NSW1,05-04-18 18:30,9621.92,125.22
NSW1,05-04-18 19:00,9501.34,122.51
NSW1,05-04-18 19:30,9190.86,100.09
NSW1,05-04-18 20:00,8964.72,95.75
NSW1,05-04-18 20:30,8708,89.68
NSW1,05-04-18 21:00,8529.65,83.05
NSW1,05-04-18 21:30,8294.41,75.73
NSW1,05-04-18 22:00,7986.12,69.21
NSW1,05-04-18 22:30,7992.78,98.48
NSW1,05-04-18 23:00,7793.45,81.99
NSW1,05-04-18 23:30,7755.33,84.03
NSW1,12-04-18 0:00,7530.07,59.71
NSW1,12-04-18 0:30,7312.52,57.06
NSW1,12-04-18 1:00,7154.35,42.72
NSW1,12-04-18 1:30,6916.61,38.61
NSW1,12-04-18 2:00,6664.42,54.76
NSW1,12-04-18 2:30,6443.31,58.87
NSW1,12-04-18 3:00,6209.4,50.18
NSW1,12-04-18 3:30,6074.3,48.35
NSW1,12-04-18 4:00,6088.08,63.82
NSW1,12-04-18 4:30,6158.64,56.21
NSW1,12-04-18 5:00,6221.43,58.31
NSW1,12-04-18 5:30,6489.01,65.63
NSW1,12-04-18 6:00,6771.16,64.82
NSW1,12-04-18 6:30,7208.74,72.44
NSW1,12-04-18 7:00,7646.59,80.64
NSW1,12-04-18 7:30,7821.48,64.49
NSW1,12-04-18 8:00,8040.86,72.74
NSW1,12-04-18 8:30,8235.51,81.23
NSW1,12-04-18 9:00,8211.98,79.08
NSW1,12-04-18 9:30,8409.15,77.77
NSW1,12-04-18 10:00,8437.1,75.09
NSW1,12-04-18 10:30,8528.7,84.78
NSW1,12-04-18 11:00,8660.28,84.38
NSW1,12-04-18 11:30,8753.02,78.4
NSW1,12-04-18 12:00,8874.56,81.08
NSW1,12-04-18 12:30,9021.45,80.03
NSW1,12-04-18 13:00,9175.51,84.67
NSW1,12-04-18 13:30,9379.06,87.37
NSW1,12-04-18 14:00,9558.71,112.18
NSW1,12-04-18 14:30,9774.94,146.93
NSW1,12-04-18 15:00,9907.35,99.34
NSW1,12-04-18 15:30,10072.25,110.95
NSW1,12-04-18 16:00,10297.72,113.81
NSW1,12-04-18 16:30,10358.5,104.2
NSW1,12-04-18 17:00,10426.74,148.35
NSW1,12-04-18 17:30,10187.59,94.82
NSW1,12-04-18 18:00,10215.52,103.62
NSW1,12-04-18 18:30,10332.67,105.41
NSW1,12-04-18 19:00,10107.49,97.39
NSW1,12-04-18 19:30,9760.19,76.89
NSW1,12-04-18 20:00,9429.07,80.45
NSW1,12-04-18 20:30,9162.29,82.95
NSW1,12-04-18 21:00,8855.85,71.07
NSW1,12-04-18 21:30,8579.53,65.28
NSW1,12-04-18 22:00,8198.2,62.1
NSW1,12-04-18 22:30,8196.83,74.96
NSW1,12-04-18 23:00,7873.24,68.21
NSW1,12-04-18 23:30,7797.65,65.79
NSW1,19-04-18 0:00,7459.63,88.55
NSW1,19-04-18 0:30,7270.99,85.85
NSW1,19-04-18 1:00,7101.85,72.62
NSW1,19-04-18 1:30,6873.36,75.24
NSW1,19-04-18 2:00,6647.69,72.85
NSW1,19-04-18 2:30,6336.74,70.34
NSW1,19-04-18 3:00,6181.43,70.68
