REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,04-10-18 0:00,7528.16,117.41,
NSW1,04-10-18 0:30,7371.92,86.16,
NSW1,04-10-18 1:00,7172.61,105.44,
NSW1,04-10-18 1:30,6983.28,73.27,
NSW1,04-10-18 2:00,6755.53,68.85,
NSW1,04-10-18 2:30,6422.89,64.92,
NSW1,04-10-18 3:00,6236.3,55.9,
NSW1,04-10-18 3:30,6029.39,56.64,
NSW1,04-10-18 4:00,5975.8,59.52,
NSW1,04-10-18 4:30,6019.76,60.11,
NSW1,04-10-18 5:00,6114.3,63.94,
NSW1,04-10-18 5:30,6374.18,68.24,
NSW1,04-10-18 6:00,6618,63.16,
NSW1,04-10-18 6:30,7083.51,72.6,
NSW1,04-10-18 7:00,7450.65,121.33,
NSW1,04-10-18 7:30,7632.55,82.4,
NSW1,04-10-18 8:00,7904.46,98.59,
NSW1,04-10-18 8:30,8053.03,89.91,
NSW1,04-10-18 9:00,8195.45,134.92,
NSW1,04-10-18 9:30,8221.01,100.9,
NSW1,04-10-18 10:00,8260.18,127.96,
NSW1,04-10-18 10:30,8201.6,129.17,
NSW1,04-10-18 11:00,8196.01,113.9,
NSW1,04-10-18 11:30,8149.21,89.17,
NSW1,04-10-18 12:00,8143.85,84.86,
NSW1,04-10-18 12:30,8185.38,90.94,
NSW1,04-10-18 13:00,8165.46,80.64,
NSW1,04-10-18 13:30,8144.16,97.29,
NSW1,04-10-18 14:00,8196.47,141.02,
NSW1,04-10-18 14:30,8198.8,102,
NSW1,04-10-18 15:00,8240.59,91.3,
NSW1,04-10-18 15:30,8272.72,91.62,
NSW1,04-10-18 16:00,8384.41,94.28,
NSW1,04-10-18 16:30,8455.93,92.37,
NSW1,04-10-18 17:00,8603.65,107.04,
NSW1,04-10-18 17:30,8817.07,126.79,
NSW1,04-10-18 18:00,9085.3,118.96,
NSW1,04-10-18 18:30,9303.14,115.55,
NSW1,04-10-18 19:00,9307.51,118.14,
NSW1,04-10-18 19:30,9056.39,112.22,
NSW1,04-10-18 20:00,8799.57,100.14,
NSW1,04-10-18 20:30,8634.77,103.02,
NSW1,04-10-18 21:00,8496.08,83.55,
NSW1,04-10-18 21:30,8356.31,82.61,
NSW1,04-10-18 22:00,8121.54,75.01,
NSW1,04-10-18 22:30,8125.46,116.13,
NSW1,04-10-18 23:00,7970.32,94.08,
NSW1,04-10-18 23:30,7856.18,69.25,
NSW1,11-10-18 0:00,7473.74,66.4,
NSW1,11-10-18 0:30,7315.86,60.51,
NSW1,11-10-18 1:00,7116.66,56.93,
NSW1,11-10-18 1:30,6771,58.95,
NSW1,11-10-18 2:00,6525.83,56.92,
NSW1,11-10-18 2:30,6353.4,52.29,
NSW1,11-10-18 3:00,6242.2,51.98,
NSW1,11-10-18 3:30,6250.79,60.78,
NSW1,11-10-18 4:00,6305.6,54.49,
NSW1,11-10-18 4:30,6570.34,60.97,
NSW1,11-10-18 5:00,6843.65,70.17,
NSW1,11-10-18 5:30,7413.92,84.49,
NSW1,11-10-18 6:00,7733.36,102.38,
NSW1,11-10-18 6:30,8057.35,135.43,
NSW1,11-10-18 7:00,8323.52,110.89,
NSW1,11-10-18 7:30,8354.45,79.41,
NSW1,11-10-18 8:00,8331.02,75.62,
NSW1,11-10-18 8:30,8285.22,80.55,
NSW1,11-10-18 9:00,8212.55,73.25,
NSW1,11-10-18 9:30,8156.43,66.53,
NSW1,11-10-18 10:00,8076.58,68.26,
NSW1,11-10-18 10:30,7972.5,80.07,
NSW1,11-10-18 11:00,7990.92,78.73,
NSW1,11-10-18 11:30,7893.13,73.57,
NSW1,11-10-18 12:00,7841.4,68.16,
NSW1,11-10-18 12:30,7768.77,76.18,
