REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,03-04-18 0:00,7183.47,66.35
NSW1,03-04-18 0:30,7051.08,65.06
NSW1,03-04-18 1:00,6915.25,62.16
NSW1,03-04-18 1:30,6592.28,63.34
NSW1,03-04-18 2:00,6417.22,70.48
NSW1,03-04-18 2:30,6164.79,63.77
NSW1,03-04-18 3:00,6047.42,61.07
NSW1,03-04-18 3:30,5910.44,59.76
NSW1,03-04-18 4:00,5890.04,63.27
NSW1,03-04-18 4:30,5978.73,60.36
NSW1,03-04-18 5:00,6007.35,60.3
NSW1,03-04-18 5:30,6315.43,63.72
NSW1,03-04-18 6:00,6593.77,63.07
NSW1,03-04-18 6:30,7102.08,65.17
NSW1,03-04-18 7:00,7540.78,80.7
NSW1,03-04-18 7:30,7901.47,70.05
NSW1,03-04-18 8:00,8140.58,79.49
NSW1,03-04-18 8:30,8242.69,84.32
NSW1,03-04-18 9:00,8276.22,86.23
NSW1,03-04-18 9:30,8441.02,82.03
NSW1,03-04-18 10:00,8451.48,74.53
NSW1,03-04-18 10:30,8430.99,77.03
NSW1,03-04-18 11:00,8422.38,76.9
NSW1,03-04-18 11:30,8387.54,85.27
NSW1,03-04-18 12:00,8356.2,83.31
NSW1,03-04-18 12:30,8370.33,84.69
NSW1,03-04-18 13:00,8384.88,83.58
NSW1,03-04-18 13:30,8383.95,87.72
NSW1,03-04-18 14:00,8462.98,94.25
NSW1,03-04-18 14:30,8483.9,88.28
NSW1,03-04-18 15:00,8567.23,88.29
NSW1,03-04-18 15:30,8603.94,88.56
NSW1,03-04-18 16:00,8745.35,90
NSW1,03-04-18 16:30,8752.52,87.07
NSW1,03-04-18 17:00,8764.62,93.32
NSW1,03-04-18 17:30,8754.22,96.74
NSW1,03-04-18 18:00,8887.1,96.53
NSW1,03-04-18 18:30,9037.12,107.69
NSW1,03-04-18 19:00,8915.11,101.37
NSW1,03-04-18 19:30,8695.01,82.69
NSW1,03-04-18 20:00,8453.91,78.32
NSW1,03-04-18 20:30,8285.64,75.54
NSW1,03-04-18 21:00,8086.95,72.73
NSW1,03-04-18 21:30,7932.65,70.09
NSW1,03-04-18 22:00,7776.91,65.71
NSW1,03-04-18 22:30,7739.77,78.84
NSW1,03-04-18 23:00,7588.08,71.66
NSW1,03-04-18 23:30,7430.39,68.03
NSW1,10-04-18 0:00,7498.65,76.62
NSW1,10-04-18 0:30,7314.6,65.74
NSW1,10-04-18 1:00,7054.36,49.69
NSW1,10-04-18 1:30,6817.04,48.92
NSW1,10-04-18 2:00,6614.29,41.51
NSW1,10-04-18 2:30,6307.19,46.45
NSW1,10-04-18 3:00,6174.47,48.52
NSW1,10-04-18 3:30,6067.07,43.91
NSW1,10-04-18 4:00,6009.02,45.49
NSW1,10-04-18 4:30,6028.85,55.87
NSW1,10-04-18 5:00,6140.71,64.74
NSW1,10-04-18 5:30,6463.34,69.51
NSW1,10-04-18 6:00,6721.75,61.11
NSW1,10-04-18 6:30,7270.11,67.41
NSW1,10-04-18 7:00,7703.55,95.46
NSW1,10-04-18 7:30,7849.01,73.24
NSW1,10-04-18 8:00,8082.01,84.88
NSW1,10-04-18 8:30,8178.35,80.98
NSW1,10-04-18 9:00,8170.12,81.83
NSW1,10-04-18 9:30,8285.58,81.85
NSW1,10-04-18 10:00,8325.97,93.5
NSW1,10-04-18 10:30,8409,85.13
NSW1,10-04-18 11:00,8413.87,82.64
NSW1,10-04-18 11:30,8436.24,79.7
NSW1,10-04-18 12:00,8430.92,87.77
NSW1,10-04-18 12:30,8477.74,87.35
NSW1,10-04-18 13:00,8449.53,83.68
NSW1,10-04-18 13:30,8495.88,80.74
NSW1,10-04-18 14:00,8344.32,72.34
NSW1,10-04-18 14:30,8525.42,97.99
NSW1,10-04-18 15:00,8671.93,89.22
NSW1,10-04-18 15:30,8725.06,88.62
NSW1,10-04-18 16:00,8832.28,97
NSW1,10-04-18 16:30,8859.96,72.28
NSW1,10-04-18 17:00,8880.16,71.75
NSW1,10-04-18 17:30,8945.74,88.29
NSW1,10-04-18 18:00,9113.15,89.58
NSW1,10-04-18 18:30,9254.8,96.36
NSW1,10-04-18 19:00,9128.11,81.2
NSW1,10-04-18 19:30,8799.28,66.33
NSW1,10-04-18 20:00,8526.15,73.58
NSW1,10-04-18 20:30,8357.93,70.17
NSW1,10-04-18 21:00,8196.48,68.46
NSW1,10-04-18 21:30,7993.17,67.93
NSW1,10-04-18 22:00,7790.97,65.57
NSW1,10-04-18 22:30,7813.4,90.18
NSW1,10-04-18 23:00,7635.57,73.98
NSW1,10-04-18 23:30,7603.13,83.45
NSW1,17-04-18 0:00,7394.54,59.09
NSW1,17-04-18 0:30,7193.6,66.43
