REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,03-07-18 0:00,8711.96,61.82,TRADE
NSW1,03-07-18 0:30,8506.82,60.13,TRADE
NSW1,03-07-18 1:00,8335.33,56.76,TRADE
NSW1,03-07-18 1:30,8095.18,53.13,TRADE
NSW1,03-07-18 2:00,7869.71,54.73,TRADE
NSW1,03-07-18 2:30,7498.4,54.92,TRADE
NSW1,03-07-18 3:00,7298.23,61.24,TRADE
NSW1,03-07-18 3:30,7064.04,59.49,TRADE
NSW1,03-07-18 4:00,6994.78,59.72,TRADE
NSW1,03-07-18 4:30,6976.84,57.73,TRADE
NSW1,03-07-18 5:00,7119.8,58.64,TRADE
NSW1,03-07-18 5:30,7499.64,58.22,TRADE
NSW1,03-07-18 6:00,7964.43,61.49,TRADE
NSW1,03-07-18 6:30,8754.85,73.55,TRADE
NSW1,03-07-18 7:00,9606.78,83.8,TRADE
NSW1,03-07-18 7:30,10088.09,87.21,TRADE
NSW1,03-07-18 8:00,10447.07,95.01,TRADE
NSW1,03-07-18 8:30,10414.96,91.91,TRADE
NSW1,03-07-18 9:00,10052.69,88.99,TRADE
NSW1,03-07-18 9:30,9860.3,87.84,TRADE
NSW1,03-07-18 10:00,9521.55,78.07,TRADE
NSW1,03-07-18 10:30,9437.05,66.18,TRADE
NSW1,03-07-18 11:00,9258.67,61.58,TRADE
NSW1,03-07-18 11:30,9054.06,59.37,TRADE
NSW1,03-07-18 12:00,8913.08,57.23,TRADE
NSW1,03-07-18 12:30,8751.24,60.23,TRADE
NSW1,03-07-18 13:00,8574.77,51.94,TRADE
NSW1,03-07-18 13:30,8527.06,55.17,TRADE
NSW1,03-07-18 14:00,8459.41,58.02,TRADE
NSW1,03-07-18 14:30,8467.89,57.37,TRADE
NSW1,03-07-18 15:00,8381.16,60.1,TRADE
NSW1,03-07-18 15:30,8476.98,59.5,TRADE
NSW1,03-07-18 16:00,8739.34,62.38,TRADE
NSW1,03-07-18 16:30,9074.85,63.88,TRADE
NSW1,03-07-18 17:00,9656.94,73.26,TRADE
NSW1,03-07-18 17:30,10387.9,130.09,TRADE
NSW1,03-07-18 18:00,10968.2,182.18,TRADE
NSW1,03-07-18 18:30,11080.62,128.65,TRADE
NSW1,03-07-18 19:00,10975.77,118.96,TRADE
NSW1,03-07-18 19:30,10786.51,98.99,TRADE
NSW1,03-07-18 20:00,10634.87,93.4,TRADE
NSW1,03-07-18 20:30,10459.94,87.8,TRADE
NSW1,03-07-18 21:00,10167.36,81.66,TRADE
NSW1,03-07-18 21:30,9939.53,69.39,TRADE
NSW1,03-07-18 22:00,9554.89,62.02,TRADE
NSW1,03-07-18 22:30,9398.08,63.11,TRADE
NSW1,03-07-18 23:00,9039.01,58.86,TRADE
NSW1,03-07-18 23:30,8881.11,57.55,TRADE
NSW1,10-07-18 0:00,8958.46,78.31,TRADE
NSW1,10-07-18 0:30,8738.66,63.12,TRADE
NSW1,10-07-18 1:00,8504.96,60.79,TRADE
NSW1,10-07-18 1:30,8281.49,58.92,TRADE
NSW1,10-07-18 2:00,8064.26,62.68,TRADE
NSW1,10-07-18 2:30,7766.41,62.15,TRADE
NSW1,10-07-18 3:00,7523.92,61.06,TRADE
NSW1,10-07-18 3:30,7319.98,55,TRADE
NSW1,10-07-18 4:00,7242,55.87,TRADE
NSW1,10-07-18 4:30,7247.28,56.16,TRADE
NSW1,10-07-18 5:00,7411.53,55.46,TRADE
NSW1,10-07-18 5:30,7824.49,62.53,TRADE
NSW1,10-07-18 6:00,8244.77,63.01,TRADE
NSW1,10-07-18 6:30,8977.47,81.93,TRADE
NSW1,10-07-18 7:00,9648.11,165.56,TRADE
NSW1,10-07-18 7:30,10054.17,84.01,TRADE
NSW1,10-07-18 8:00,10416.53,103.42,TRADE
NSW1,10-07-18 8:30,10482.81,103.66,TRADE
NSW1,10-07-18 9:00,10263.39,91.6,TRADE
NSW1,10-07-18 9:30,10038.84,93.45,TRADE
NSW1,10-07-18 10:00,9756.23,71.5,TRADE
NSW1,10-07-18 10:30,9507.85,77.09,TRADE
NSW1,10-07-18 11:00,9245.21,72.48,TRADE
NSW1,10-07-18 11:30,8887.08,59.31,TRADE
NSW1,10-07-18 12:00,8701.72,60.46,TRADE
NSW1,10-07-18 12:30,8551.52,58.08,TRADE
NSW1,10-07-18 13:00,8423.32,53.74,TRADE
NSW1,10-07-18 13:30,8333.57,54.13,TRADE
NSW1,10-07-18 14:00,8308.8,52.55,TRADE
NSW1,10-07-18 14:30,8294.85,54.64,TRADE
NSW1,10-07-18 15:00,8368.35,59.16,TRADE
NSW1,10-07-18 15:30,8545.03,60.82,TRADE
NSW1,10-07-18 16:00,8745.96,68.62,TRADE
NSW1,10-07-18 16:30,9055.66,72.54,TRADE
NSW1,10-07-18 17:00,9599.76,79.33,TRADE
NSW1,10-07-18 17:30,10381.85,106.91,TRADE
NSW1,10-07-18 18:00,11171.52,221.7,TRADE
NSW1,10-07-18 18:30,11322.89,232.83,TRADE
NSW1,10-07-18 19:00,11275.88,152.52,TRADE
NSW1,10-07-18 19:30,11126.96,107.19,TRADE
NSW1,10-07-18 20:00,10914.81,212.42,TRADE
NSW1,10-07-18 20:30,10776.16,142.22,TRADE
NSW1,10-07-18 21:00,10499.42,89.02,TRADE
NSW1,10-07-18 21:30,10314.63,91.2,TRADE
NSW1,10-07-18 22:00,9955.06,84.03,TRADE
NSW1,10-07-18 22:30,9832.55,91.12,TRADE
NSW1,10-07-18 23:00,9508.76,70.67,TRADE
NSW1,10-07-18 23:30,9220.03,67.12,TRADE
NSW1,17-07-18 0:00,9111.11,67.68,TRADE
NSW1,17-07-18 0:30,8815.54,62.38,TRADE
NSW1,17-07-18 1:00,8595.21,61.94,TRADE
NSW1,17-07-18 1:30,8407.54,63.85,TRADE
NSW1,17-07-18 2:00,8204.58,67.35,TRADE
NSW1,17-07-18 2:30,7840,62.99,TRADE
NSW1,17-07-18 3:00,7580.14,54.94,TRADE
NSW1,17-07-18 3:30,7394.07,53.63,TRADE
NSW1,17-07-18 4:00,7286.77,52.8,TRADE
NSW1,17-07-18 4:30,7346.76,51.77,TRADE
NSW1,17-07-18 5:00,7415.14,55.26,TRADE
NSW1,17-07-18 5:30,7804.57,58.13,TRADE
NSW1,17-07-18 6:00,8251.99,58.01,TRADE
NSW1,17-07-18 6:30,9107.53,71.49,TRADE
NSW1,17-07-18 7:00,9794.76,97.03,TRADE
NSW1,17-07-18 7:30,10292.4,108.46,TRADE
NSW1,17-07-18 8:00,10685,112.92,TRADE
NSW1,17-07-18 8:30,10586.92,98.79,TRADE
NSW1,17-07-18 9:00,10219.27,71.99,TRADE
NSW1,17-07-18 9:30,9928.02,64.56,TRADE
NSW1,17-07-18 10:00,9495.96,56.26,TRADE
NSW1,17-07-18 10:30,9211,60.6,TRADE
NSW1,17-07-18 11:00,8898.59,59.66,TRADE
NSW1,17-07-18 11:30,8581.87,57.18,TRADE
NSW1,17-07-18 12:00,8381.56,55.93,TRADE
NSW1,17-07-18 12:30,8180.53,50.89,TRADE
NSW1,17-07-18 13:00,8100.87,54.27,TRADE
NSW1,17-07-18 13:30,8041.23,49.52,TRADE
NSW1,17-07-18 14:00,8008.19,60.06,TRADE
NSW1,17-07-18 14:30,8011.74,59.42,TRADE
NSW1,17-07-18 15:00,8050.47,62.8,TRADE
NSW1,17-07-18 15:30,8183.43,58.2,TRADE
NSW1,17-07-18 16:00,8363.54,65.23,TRADE
NSW1,17-07-18 16:30,8657,68.65,TRADE
NSW1,17-07-18 17:00,9125.55,74.06,TRADE
NSW1,17-07-18 17:30,9864.74,89.48,TRADE
NSW1,17-07-18 18:00,10579.52,102.4,TRADE
NSW1,17-07-18 18:30,10702.17,108.98,TRADE
NSW1,17-07-18 19:00,10715.61,170.43,TRADE
NSW1,17-07-18 19:30,10526.54,110.98,TRADE
NSW1,17-07-18 20:00,10362.28,110.04,TRADE
NSW1,17-07-18 20:30,10135.07,106.97,TRADE
NSW1,17-07-18 21:00,9914.34,94.78,TRADE
NSW1,17-07-18 21:30,9652.4,86.79,TRADE
NSW1,17-07-18 22:00,9285.43,79.52,TRADE
NSW1,17-07-18 22:30,9202.85,86.55,TRADE
NSW1,17-07-18 23:00,8847.1,74.17,TRADE
NSW1,17-07-18 23:30,8718.14,69.24,TRADE
NSW1,24-07-18 0:00,8474.79,68.08,TRADE
NSW1,24-07-18 0:30,8188.63,55.93,TRADE
NSW1,24-07-18 1:00,8009.84,51.78,TRADE
NSW1,24-07-18 1:30,7827.04,59.06,TRADE
NSW1,24-07-18 2:00,7652.17,55.71,TRADE
NSW1,24-07-18 2:30,7315.48,61.25,TRADE
NSW1,24-07-18 3:00,7082.76,59,TRADE
NSW1,24-07-18 3:30,6816.64,56.16,TRADE
NSW1,24-07-18 4:00,6794.66,61.35,TRADE
NSW1,24-07-18 4:30,6841.08,61,TRADE
NSW1,24-07-18 5:00,6980.24,62.66,TRADE
NSW1,24-07-18 5:30,7324.38,81.06,TRADE
NSW1,24-07-18 6:00,7783.55,81.22,TRADE
NSW1,24-07-18 6:30,8592.67,100.06,TRADE
NSW1,24-07-18 7:00,9434.45,142.35,TRADE
NSW1,24-07-18 7:30,9950.22,135.69,TRADE
NSW1,24-07-18 8:00,10101.92,109.86,TRADE
NSW1,24-07-18 8:30,9959.43,98.75,TRADE
NSW1,24-07-18 9:00,9421.94,80.28,TRADE
NSW1,24-07-18 9:30,9053.58,79.78,TRADE
NSW1,24-07-18 10:00,8785.26,64.74,TRADE
NSW1,24-07-18 10:30,8545.19,58.03,TRADE
NSW1,24-07-18 11:00,8282.89,57.36,TRADE
NSW1,24-07-18 11:30,8054.88,57.02,TRADE
NSW1,24-07-18 12:00,7893.66,51.03,TRADE
NSW1,24-07-18 12:30,7820.64,53.44,TRADE
NSW1,24-07-18 13:00,7730.99,54.01,TRADE
NSW1,24-07-18 13:30,7675.28,58.94,TRADE
NSW1,24-07-18 14:00,7663.47,60.64,TRADE
NSW1,24-07-18 14:30,7703.28,61.26,TRADE
NSW1,24-07-18 15:00,7802.25,60.47,TRADE
NSW1,24-07-18 15:30,7861.1,58.15,TRADE
NSW1,24-07-18 16:00,8107.08,63.46,TRADE
NSW1,24-07-18 16:30,8321.92,75.18,TRADE
NSW1,24-07-18 17:00,8686.27,81.2,TRADE
NSW1,24-07-18 17:30,9286.51,89.97,TRADE
NSW1,24-07-18 18:00,10029.69,105.21,TRADE
NSW1,24-07-18 18:30,10133.3,104.5,TRADE
