REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,03-01-18 0:00,7176.17,64.82
NSW1,03-01-18 0:30,6942.74,59.82
NSW1,03-01-18 1:00,6775.6,56.38
NSW1,03-01-18 1:30,6495.39,49.35
NSW1,03-01-18 2:00,6255.22,49.82
NSW1,03-01-18 2:30,6140.19,53.63
NSW1,03-01-18 3:00,6075.4,53.14
NSW1,03-01-18 3:30,6046.01,54.98
NSW1,03-01-18 4:00,6115.91,54.98
NSW1,03-01-18 4:30,6241.05,56.23
NSW1,03-01-18 5:00,6354.49,57.29
NSW1,03-01-18 5:30,6616.59,62.69
NSW1,03-01-18 6:00,6846.51,62.87
NSW1,03-01-18 6:30,7181.93,65.24
NSW1,03-01-18 7:00,7461.36,66
NSW1,03-01-18 7:30,7729.2,67.35
NSW1,03-01-18 8:00,7861.83,67.57
NSW1,03-01-18 8:30,8041.58,68.99
NSW1,03-01-18 9:00,8077,70.09
NSW1,03-01-18 9:30,8077.08,69.92
NSW1,03-01-18 10:00,8094.46,69.36
NSW1,03-01-18 10:30,8078.4,67.96
NSW1,03-01-18 11:00,8048,70.7
NSW1,03-01-18 11:30,8012.75,68.48
NSW1,03-01-18 12:00,7981.82,72.91
NSW1,03-01-18 12:30,7962.27,70.04
NSW1,03-01-18 13:00,7953.31,69.41
NSW1,03-01-18 13:30,7912.41,69.23
NSW1,03-01-18 14:00,7995.47,75.4
NSW1,03-01-18 14:30,8092.41,73.62
NSW1,03-01-18 15:00,8139.25,72.87
NSW1,03-01-18 15:30,8166.93,69.25
NSW1,03-01-18 16:00,8208.16,69.34
NSW1,03-01-18 16:30,8222.51,68.09
NSW1,03-01-18 17:00,8235.15,68.83
NSW1,03-01-18 17:30,8098.25,66.81
NSW1,03-01-18 18:00,8069.57,64.5
NSW1,03-01-18 18:30,7958.95,70.5
NSW1,03-01-18 19:00,7876.04,72.31
NSW1,03-01-18 19:30,7940.51,74.53
NSW1,03-01-18 20:00,7966.69,68.89
NSW1,03-01-18 20:30,7799.42,63.51
NSW1,03-01-18 21:00,7601.8,61.22
NSW1,03-01-18 21:30,7591.55,61.67
NSW1,03-01-18 22:00,7508.93,61.28
NSW1,03-01-18 22:30,7496.14,61.8
NSW1,03-01-18 23:00,7362.91,63.2
NSW1,03-01-18 23:30,7180.62,65.25
NSW1,10-01-18 0:00,7445.24,64.18
NSW1,10-01-18 0:30,7274.84,61.3
NSW1,10-01-18 1:00,7070.97,58.96
NSW1,10-01-18 1:30,6743.85,56.62
NSW1,10-01-18 2:00,6560.48,53.3
NSW1,10-01-18 2:30,6463.16,55.18
NSW1,10-01-18 3:00,6407.56,54.98
NSW1,10-01-18 3:30,6394.4,58.77
NSW1,10-01-18 4:00,6428.12,55.08
NSW1,10-01-18 4:30,6587.03,59.19
NSW1,10-01-18 5:00,6729.14,55.01
NSW1,10-01-18 5:30,7066.99,61.49
NSW1,10-01-18 6:00,7414.68,60.93
NSW1,10-01-18 6:30,7732.38,65.77
NSW1,10-01-18 7:00,8059.08,83.67
NSW1,10-01-18 7:30,8302.72,81.56
NSW1,10-01-18 8:00,8442.11,69.79
NSW1,10-01-18 8:30,8534.47,78.67
NSW1,10-01-18 9:00,8478.27,82.62
NSW1,10-01-18 9:30,8521.85,84.59
NSW1,10-01-18 10:00,8576.07,86.18
NSW1,10-01-18 10:30,8513.57,86.67
NSW1,10-01-18 11:00,8494.75,87.74
NSW1,10-01-18 11:30,8452.41,87.84
NSW1,10-01-18 12:00,8436.55,86.66
NSW1,10-01-18 12:30,8474.76,83.5
NSW1,10-01-18 13:00,8493.65,78.6
NSW1,10-01-18 13:30,8515.47,77.86
NSW1,10-01-18 14:00,8572.78,77.95
NSW1,10-01-18 14:30,8629.35,80.25
NSW1,10-01-18 15:00,8756.94,85.04
NSW1,10-01-18 15:30,8825.94,75.78
NSW1,10-01-18 16:00,8894.42,73.61
NSW1,10-01-18 16:30,8899.02,74.53
NSW1,10-01-18 17:00,8940.55,78.33
NSW1,10-01-18 17:30,8811.03,73.43
NSW1,10-01-18 18:00,8725.05,72.78
NSW1,10-01-18 18:30,8566.31,70.53
NSW1,10-01-18 19:00,8487.31,67.48
NSW1,10-01-18 19:30,8481.25,72.36
NSW1,10-01-18 20:00,8472.81,67.82
NSW1,10-01-18 20:30,8291.41,63.09
NSW1,10-01-18 21:00,8106.1,63.12
NSW1,10-01-18 21:30,8014.38,58.49
NSW1,10-01-18 22:00,7808.11,57.46
NSW1,10-01-18 22:30,7774.41,63.85
NSW1,10-01-18 23:00,7629.84,58.1
NSW1,10-01-18 23:30,7440.22,59.69
NSW1,17-01-18 0:00,7137.99,58.1
NSW1,17-01-18 0:30,6978.12,60.05
NSW1,17-01-18 1:00,6808.91,58.19
NSW1,17-01-18 1:30,6497.96,59.62
NSW1,17-01-18 2:00,6256.61,66.37
NSW1,17-01-18 2:30,6130.63,68.91
NSW1,17-01-18 3:00,6048.27,70
NSW1,17-01-18 3:30,6024.45,69.38
NSW1,17-01-18 4:00,6049.44,68.02
NSW1,17-01-18 4:30,6258.73,67.15
NSW1,17-01-18 5:00,6438.31,66.52
NSW1,17-01-18 5:30,6817.72,64.4
NSW1,17-01-18 6:00,7163.78,61.34
NSW1,17-01-18 6:30,7412.66,65.27
NSW1,17-01-18 7:00,7636.86,67
NSW1,17-01-18 7:30,7782.48,68.12
NSW1,17-01-18 8:00,7834.2,68.38
NSW1,17-01-18 8:30,7933.52,68.84
NSW1,17-01-18 9:00,7864,68.59
NSW1,17-01-18 9:30,7907.12,68.75
NSW1,17-01-18 10:00,7843.79,67.27
NSW1,17-01-18 10:30,7827.93,67.95
NSW1,17-01-18 11:00,7816.56,68.24
NSW1,17-01-18 11:30,7795.97,67.98
NSW1,17-01-18 12:00,7849.33,68.75
NSW1,17-01-18 12:30,7859.91,68.91
NSW1,17-01-18 13:00,7888.56,69.4
NSW1,17-01-18 13:30,7917.81,69
NSW1,17-01-18 14:00,8020.21,69
NSW1,17-01-18 14:30,8082.73,69
NSW1,17-01-18 15:00,8202.41,76.84
NSW1,17-01-18 15:30,8310.33,85.81
NSW1,17-01-18 16:00,8436.84,87.72
NSW1,17-01-18 16:30,8583.22,87.15
NSW1,17-01-18 17:00,8696.55,90.55
NSW1,17-01-18 17:30,8685.77,89.25
NSW1,17-01-18 18:00,8688.95,85.82
NSW1,17-01-18 18:30,8540.71,86.15
NSW1,17-01-18 19:00,8376.55,83.38
NSW1,17-01-18 19:30,8282.01,78.78
NSW1,17-01-18 20:00,8274.48,73.01
NSW1,17-01-18 20:30,8097.35,66.27
NSW1,17-01-18 21:00,7879.08,61.03
NSW1,17-01-18 21:30,7793.89,64.15
NSW1,17-01-18 22:00,7572.13,59.52
NSW1,17-01-18 22:30,7537.01,64.29
NSW1,17-01-18 23:00,7405.28,64.34
NSW1,17-01-18 23:30,7222.41,65.7
NSW1,24-01-18 0:00,7886.45,52.58
NSW1,24-01-18 0:30,7750.49,70.44
NSW1,24-01-18 1:00,7483,70.39
NSW1,24-01-18 1:30,7174.32,79.96
NSW1,24-01-18 2:00,6907.25,81.58
NSW1,24-01-18 2:30,6764.62,79.34
NSW1,24-01-18 3:00,6703.03,76.16
NSW1,24-01-18 3:30,6705.95,74.4
NSW1,24-01-18 4:00,6751.82,74.48
NSW1,24-01-18 4:30,6977.01,72.28
NSW1,24-01-18 5:00,7195.31,68.58
NSW1,24-01-18 5:30,7605.89,56.76
NSW1,24-01-18 6:00,7921.44,58.53
NSW1,24-01-18 6:30,8287.95,65.92
NSW1,24-01-18 7:00,8650.43,79.05
NSW1,24-01-18 7:30,8962.57,84.61
NSW1,24-01-18 8:00,9171.04,83.06
NSW1,24-01-18 8:30,9455.34,93.16
NSW1,24-01-18 9:00,9663.67,95.26
NSW1,24-01-18 9:30,9847.21,100.85
NSW1,24-01-18 10:00,9962.65,96.16
NSW1,24-01-18 10:30,10152.97,104.34
NSW1,24-01-18 11:00,10379.75,109.39
NSW1,24-01-18 11:30,10482.86,107.41
NSW1,24-01-18 12:00,10744.5,106.83
NSW1,24-01-18 12:30,10956.53,113.3
NSW1,24-01-18 13:00,11052.72,121.17
NSW1,24-01-18 13:30,11136.79,123
NSW1,24-01-18 14:00,11332.76,125.62
NSW1,24-01-18 14:30,11430.26,124.2
NSW1,24-01-18 15:00,11557.21,135.68
NSW1,24-01-18 15:30,11587.96,118
NSW1,24-01-18 16:00,11587.92,125.67
NSW1,24-01-18 16:30,11397.7,116
NSW1,24-01-18 17:00,11261.01,108.29
NSW1,24-01-18 17:30,10970.19,97.91
NSW1,24-01-18 18:00,10809.74,89.54
NSW1,24-01-18 18:30,10533.35,84.95
NSW1,24-01-18 19:00,10326.25,90.58
NSW1,24-01-18 19:30,10231.28,91.59
NSW1,24-01-18 20:00,10115.34,92.89
NSW1,24-01-18 20:30,9883.52,95.42
NSW1,24-01-18 21:00,9522.25,82.58
NSW1,24-01-18 21:30,9373.73,85.71
NSW1,24-01-18 22:00,9037.46,84.82
NSW1,24-01-18 22:30,8853.45,81.76
NSW1,24-01-18 23:00,8565.66,83.65
NSW1,24-01-18 23:30,8252.71,75.26
NSW1,31-01-18 0:00,7689.55,53.84
