REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
NSW1,04-04-18 0:00,7381.93,69.12
NSW1,04-04-18 0:30,7270.79,70.75
NSW1,04-04-18 1:00,7050.89,54.9
NSW1,04-04-18 1:30,6726.14,60.59
NSW1,04-04-18 2:00,6591.22,62.91
NSW1,04-04-18 2:30,6260.33,59.1
NSW1,04-04-18 3:00,6124.21,59.25
NSW1,04-04-18 3:30,6044.29,48.38
NSW1,04-04-18 4:00,6009.38,44.27
NSW1,04-04-18 4:30,6122.36,58.37
NSW1,04-04-18 5:00,6221.88,49.22
NSW1,04-04-18 5:30,6487.78,62.16
NSW1,04-04-18 6:00,6696.78,78.56
NSW1,04-04-18 6:30,7158.26,79.22
NSW1,04-04-18 7:00,7603.36,95.08
NSW1,04-04-18 7:30,7846.63,92.09
NSW1,04-04-18 8:00,8049.82,104.41
NSW1,04-04-18 8:30,8109.56,98.39
NSW1,04-04-18 9:00,8121.55,89.74
NSW1,04-04-18 9:30,8179.12,101.22
NSW1,04-04-18 10:00,8310.55,112.94
NSW1,04-04-18 10:30,8373.81,103.28
NSW1,04-04-18 11:00,8407.87,101.24
NSW1,04-04-18 11:30,8371.87,107.25
NSW1,04-04-18 12:00,8398.65,106.42
NSW1,04-04-18 12:30,8358.41,104.46
NSW1,04-04-18 13:00,8365.22,110.19
NSW1,04-04-18 13:30,8430.08,110.77
NSW1,04-04-18 14:00,8527.27,111.69
NSW1,04-04-18 14:30,8575.12,150.99
NSW1,04-04-18 15:00,8643.58,114.85
NSW1,04-04-18 15:30,8703.8,128.93
NSW1,04-04-18 16:00,8836.1,112.35
NSW1,04-04-18 16:30,8915.81,121.67
NSW1,04-04-18 17:00,8994.32,111.57
NSW1,04-04-18 17:30,8955.66,100.22
NSW1,04-04-18 18:00,9052.07,105.72
NSW1,04-04-18 18:30,9136.8,109.36
NSW1,04-04-18 19:00,9104.9,108.42
NSW1,04-04-18 19:30,8794.51,88.79
NSW1,04-04-18 20:00,8603.72,90.38
NSW1,04-04-18 20:30,8338.74,84.64
NSW1,04-04-18 21:00,8204.74,78.84
NSW1,04-04-18 21:30,7995.93,74.72
NSW1,04-04-18 22:00,7834.53,73.5
NSW1,04-04-18 22:30,7786.66,86.46
