REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,04-07-18 0:00,8716.09,56.91,TRADE
NSW1,04-07-18 0:30,8506.96,52.64,TRADE
NSW1,04-07-18 1:00,8263.4,53.5,TRADE
NSW1,04-07-18 1:30,8064.81,58.33,TRADE
NSW1,04-07-18 2:00,7836.94,63.96,TRADE
NSW1,04-07-18 2:30,7446.54,58.57,TRADE
NSW1,04-07-18 3:00,7171.9,51.12,TRADE
NSW1,04-07-18 3:30,6962.57,54.57,TRADE
NSW1,04-07-18 4:00,6898.95,48.63,TRADE
NSW1,04-07-18 4:30,6940.23,55.41,TRADE
NSW1,04-07-18 5:00,7072.79,53.64,TRADE
NSW1,04-07-18 5:30,7465.92,54.75,TRADE
NSW1,04-07-18 6:00,7898.11,58.91,TRADE
NSW1,04-07-18 6:30,8747.37,63.39,TRADE
NSW1,04-07-18 7:00,9513.95,67.03,TRADE
NSW1,04-07-18 7:30,10053.51,82.34,TRADE
NSW1,04-07-18 8:00,10351.21,98.87,TRADE
NSW1,04-07-18 8:30,10261.03,87.17,TRADE
NSW1,04-07-18 9:00,9919.03,67.53,TRADE
NSW1,04-07-18 9:30,9660.08,63.28,TRADE
NSW1,04-07-18 10:00,9362.64,54.58,TRADE
NSW1,04-07-18 10:30,9168.95,57,TRADE
NSW1,04-07-18 11:00,8906,56.14,TRADE
NSW1,04-07-18 11:30,8625.37,55.3,TRADE
NSW1,04-07-18 12:00,8412.76,54.42,TRADE
NSW1,04-07-18 12:30,8240.85,52.26,TRADE
NSW1,04-07-18 13:00,8110.03,52.09,TRADE
NSW1,04-07-18 13:30,8080.48,53.02,TRADE
NSW1,04-07-18 14:00,8078.27,52.93,TRADE
NSW1,04-07-18 14:30,8077.49,54.38,TRADE
NSW1,04-07-18 15:00,8084.69,57.97,TRADE
NSW1,04-07-18 15:30,8208.66,53.1,TRADE
NSW1,04-07-18 16:00,8416.47,51.93,TRADE
NSW1,04-07-18 16:30,8751.68,60.06,TRADE
NSW1,04-07-18 17:00,9205.82,64.08,TRADE
NSW1,04-07-18 17:30,9851.06,103.41,TRADE
NSW1,04-07-18 18:00,10465.6,113.86,TRADE
NSW1,04-07-18 18:30,10508,97.91,TRADE
NSW1,04-07-18 19:00,10436.94,97.45,TRADE
NSW1,04-07-18 19:30,10243.26,81.84,TRADE
NSW1,04-07-18 20:00,10103.99,80.35,TRADE
NSW1,04-07-18 20:30,9947.3,73.2,TRADE
NSW1,04-07-18 21:00,9735.83,64.64,TRADE
NSW1,04-07-18 21:30,9471.28,62.86,TRADE
NSW1,04-07-18 22:00,9112.85,56.05,TRADE
NSW1,04-07-18 22:30,9094.09,59.13,TRADE
NSW1,04-07-18 23:00,8731.42,54.76,TRADE
NSW1,04-07-18 23:30,8522.47,60.28,TRADE
NSW1,11-07-18 0:00,9104.74,65.82,TRADE
NSW1,11-07-18 0:30,8808.79,61.22,TRADE
NSW1,11-07-18 1:00,8572.66,59.4,TRADE
NSW1,11-07-18 1:30,8389.08,62.38,TRADE
NSW1,11-07-18 2:00,8198.6,62.83,TRADE
NSW1,11-07-18 2:30,7852.86,63.01,TRADE
NSW1,11-07-18 3:00,7599.1,62.92,TRADE
NSW1,11-07-18 3:30,7442.72,62.92,TRADE
NSW1,11-07-18 4:00,7311.55,61.14,TRADE
NSW1,11-07-18 4:30,7379.77,61.23,TRADE
NSW1,11-07-18 5:00,7537.41,59.16,TRADE
NSW1,11-07-18 5:30,7968.04,63.01,TRADE
NSW1,11-07-18 6:00,8362.42,63.77,TRADE
NSW1,11-07-18 6:30,9075.92,80.11,TRADE
NSW1,11-07-18 7:00,9739.02,146.02,TRADE
NSW1,11-07-18 7:30,10185.45,94.29,TRADE
NSW1,11-07-18 8:00,10534.31,130.68,TRADE
NSW1,11-07-18 8:30,10562.35,110.17,TRADE
NSW1,11-07-18 9:00,10376.58,83.16,TRADE
NSW1,11-07-18 9:30,10125.98,79.31,TRADE
NSW1,11-07-18 10:00,9815.41,77.12,TRADE
NSW1,11-07-18 10:30,9481.95,69.02,TRADE
NSW1,11-07-18 11:00,9207.1,59.67,TRADE
NSW1,11-07-18 11:30,8893.95,58.13,TRADE
NSW1,11-07-18 12:00,8722.94,58.07,TRADE
NSW1,11-07-18 12:30,8570.34,57.99,TRADE
NSW1,11-07-18 13:00,8438.18,58.01,TRADE
NSW1,11-07-18 13:30,8443.67,58.14,TRADE
NSW1,11-07-18 14:00,8456.01,58.15,TRADE
NSW1,11-07-18 14:30,8472.47,59.09,TRADE
NSW1,11-07-18 15:00,8607.99,62.44,TRADE
NSW1,11-07-18 15:30,8691.01,62.56,TRADE
NSW1,11-07-18 16:00,8903.7,64.97,TRADE
NSW1,11-07-18 16:30,9187.27,79.06,TRADE
NSW1,11-07-18 17:00,9722.62,89.91,TRADE
NSW1,11-07-18 17:30,10491.01,132.9,TRADE
NSW1,11-07-18 18:00,11112.85,105.32,TRADE
NSW1,11-07-18 18:30,11180.67,101.91,TRADE
NSW1,11-07-18 19:00,11173.94,105.01,TRADE
NSW1,11-07-18 19:30,10987.75,97.85,TRADE
NSW1,11-07-18 20:00,10769.68,98.08,TRADE
NSW1,11-07-18 20:30,10609.45,117.21,TRADE
NSW1,11-07-18 21:00,10401,91.56,TRADE
NSW1,11-07-18 21:30,10171.34,92.06,TRADE
NSW1,11-07-18 22:00,9874.3,81.82,TRADE
NSW1,11-07-18 22:30,9718.9,97.78,TRADE
NSW1,11-07-18 23:00,9322.31,87.37,TRADE
NSW1,11-07-18 23:30,9165.12,88,TRADE
NSW1,18-07-18 0:00,8552.81,65.3,TRADE
NSW1,18-07-18 0:30,8309.56,59.47,TRADE
NSW1,18-07-18 1:00,8087.18,56.54,TRADE
NSW1,18-07-18 1:30,7911.53,60.63,TRADE
NSW1,18-07-18 2:00,7685.41,60.17,TRADE
NSW1,18-07-18 2:30,7345.7,53.32,TRADE
NSW1,18-07-18 3:00,7079.14,54.12,TRADE
NSW1,18-07-18 3:30,6959.4,52.77,TRADE
NSW1,18-07-18 4:00,6833.81,49.52,TRADE
NSW1,18-07-18 4:30,6878.99,52.81,TRADE
NSW1,18-07-18 5:00,6929.83,52.66,TRADE
NSW1,18-07-18 5:30,7318.54,58.31,TRADE
NSW1,18-07-18 6:00,7670.45,61.15,TRADE
NSW1,18-07-18 6:30,8401.02,63.71,TRADE
NSW1,18-07-18 7:00,8964.35,127.8,TRADE
NSW1,18-07-18 7:30,9365.64,130.65,TRADE
NSW1,18-07-18 8:00,9575.06,92.89,TRADE
NSW1,18-07-18 8:30,9581.56,86.08,TRADE
NSW1,18-07-18 9:00,9341.68,73.05,TRADE
NSW1,18-07-18 9:30,9135.72,69.23,TRADE
NSW1,18-07-18 10:00,8809.3,61.5,TRADE
NSW1,18-07-18 10:30,8604.74,62.96,TRADE
NSW1,18-07-18 11:00,8378.57,59.65,TRADE
NSW1,18-07-18 11:30,8141.87,54.23,TRADE
NSW1,18-07-18 12:00,8008.46,54.22,TRADE
NSW1,18-07-18 12:30,7848.67,52.24,TRADE
NSW1,18-07-18 13:00,7756.33,52.62,TRADE
NSW1,18-07-18 13:30,7731.22,54.34,TRADE
NSW1,18-07-18 14:00,7708.22,53.03,TRADE
NSW1,18-07-18 14:30,7750.99,53.67,TRADE
NSW1,18-07-18 15:00,7839.91,54.48,TRADE
NSW1,18-07-18 15:30,7936,52.97,TRADE
NSW1,18-07-18 16:00,8110.01,60.79,TRADE
NSW1,18-07-18 16:30,8396.45,61.97,TRADE
NSW1,18-07-18 17:00,8797.13,65.46,TRADE
NSW1,18-07-18 17:30,9455.68,79.78,TRADE
NSW1,18-07-18 18:00,10207.1,102.7,TRADE
NSW1,18-07-18 18:30,10355.71,110.44,TRADE
NSW1,18-07-18 19:00,10352.78,105.71,TRADE
NSW1,18-07-18 19:30,10241.97,97.01,TRADE
NSW1,18-07-18 20:00,10102.21,96.41,TRADE
NSW1,18-07-18 20:30,10032.55,100.42,TRADE
NSW1,18-07-18 21:00,9807.08,92.34,TRADE
NSW1,18-07-18 21:30,9639.18,89.28,TRADE
NSW1,18-07-18 22:00,9320.13,74.65,TRADE
NSW1,18-07-18 22:30,9266.07,75.24,TRADE
NSW1,18-07-18 23:00,8957.65,62.66,TRADE
NSW1,18-07-18 23:30,8789.66,64.31,TRADE
NSW1,25-07-18 0:00,8297.23,56.67,TRADE
NSW1,25-07-18 0:30,8077.12,55.62,TRADE
NSW1,25-07-18 1:00,7964.58,51.11,TRADE
NSW1,25-07-18 1:30,7673.97,51.77,TRADE
NSW1,25-07-18 2:00,7542.38,50.87,TRADE
NSW1,25-07-18 2:30,7215.51,51.77,TRADE
NSW1,25-07-18 3:00,6964.79,46.73,TRADE
NSW1,25-07-18 3:30,6798.34,41.64,TRADE
NSW1,25-07-18 4:00,6703.23,51.77,TRADE
NSW1,25-07-18 4:30,6702.85,51.02,TRADE
NSW1,25-07-18 5:00,6913.76,51.28,TRADE
NSW1,25-07-18 5:30,7287.06,53.53,TRADE
NSW1,25-07-18 6:00,7717.89,51.03,TRADE
NSW1,25-07-18 6:30,8528.49,76.11,TRADE
NSW1,25-07-18 7:00,9313.88,144.85,TRADE
NSW1,25-07-18 7:30,9796.69,113.95,TRADE
NSW1,25-07-18 8:00,10020.45,142.12,TRADE
NSW1,25-07-18 8:30,9760.13,101.04,TRADE
NSW1,25-07-18 9:00,9308.62,97.59,TRADE
NSW1,25-07-18 9:30,8953.47,95.89,TRADE
NSW1,25-07-18 10:00,8704.39,75.31,TRADE
NSW1,25-07-18 10:30,8456.83,61.89,TRADE
NSW1,25-07-18 11:00,8243.31,61.83,TRADE
NSW1,25-07-18 11:30,8040.23,60.24,TRADE
NSW1,25-07-18 12:00,7881.62,57.7,TRADE
NSW1,25-07-18 12:30,7758.62,55.46,TRADE
NSW1,25-07-18 13:00,7675.44,57.5,TRADE
NSW1,25-07-18 13:30,7606.26,58.86,TRADE
NSW1,25-07-18 14:00,7616.71,60.46,TRADE
NSW1,25-07-18 14:30,7691.05,60.11,TRADE
NSW1,25-07-18 15:00,7741.68,58.77,TRADE
NSW1,25-07-18 15:30,7848.34,59.12,TRADE
NSW1,25-07-18 16:00,8062.63,68.51,TRADE
NSW1,25-07-18 16:30,8320.88,65.12,TRADE
NSW1,25-07-18 17:00,8727.64,81.23,TRADE
NSW1,25-07-18 17:30,9288.16,87.85,TRADE
NSW1,25-07-18 18:00,9959.51,111.16,TRADE
NSW1,25-07-18 18:30,10076.62,104.96,TRADE
NSW1,25-07-18 19:00,10061.1,112.65,TRADE
NSW1,25-07-18 19:30,9884.6,91.32,TRADE
NSW1,25-07-18 20:00,9764.77,90.32,TRADE
NSW1,25-07-18 20:30,9617.94,81.71,TRADE
NSW1,25-07-18 21:00,9460.15,87.26,TRADE
NSW1,25-07-18 21:30,9207.18,82.41,TRADE
NSW1,25-07-18 22:00,8891.57,63.64,TRADE
NSW1,25-07-18 22:30,8837.25,78.8,TRADE
NSW1,25-07-18 23:00,8606.73,66.45,TRADE
NSW1,25-07-18 23:30,8459.48,63.53,TRADE
NSW1,01-08-18 0:00,8427.25,57.03,TRADE
NSW1,01-08-18 0:30,8194.58,54.08,nan
NSW1,01-08-18 1:00,8013.31,61.69,nan
NSW1,01-08-18 1:30,7804.19,62.68,nan
NSW1,01-08-18 2:00,7624.18,61.73,nan
NSW1,01-08-18 2:30,7221.2,55.96,nan
NSW1,01-08-18 3:00,6968.64,51.1,nan
NSW1,01-08-18 3:30,6796.92,52.08,nan
NSW1,01-08-18 4:00,6707.5,46.04,nan
NSW1,01-08-18 4:30,6706.04,53.7,nan
NSW1,01-08-18 5:00,6828.3,55.92,nan
NSW1,01-08-18 5:30,7217.47,58.13,nan
NSW1,01-08-18 6:00,7666.91,58.94,nan
NSW1,01-08-18 6:30,8553.34,82.78,nan
NSW1,01-08-18 7:00,9343.03,102.58,nan
NSW1,01-08-18 7:30,9771.47,102.06,nan
NSW1,01-08-18 8:00,9844.13,107.69,nan
NSW1,01-08-18 8:30,9565.31,76.54,nan
NSW1,01-08-18 9:00,9106.82,68.78,nan
NSW1,01-08-18 9:30,8807.67,59.94,nan
NSW1,01-08-18 10:00,8522.95,58.44,nan
NSW1,01-08-18 10:30,8291.38,60.24,nan
NSW1,01-08-18 11:00,8059.19,59.29,nan
NSW1,01-08-18 11:30,7875.89,58.45,nan
NSW1,01-08-18 12:00,7671.57,60.47,nan
NSW1,01-08-18 12:30,7637.41,59.43,nan
NSW1,01-08-18 13:00,7580.05,58,nan
NSW1,01-08-18 13:30,7587.53,57.02,nan
NSW1,01-08-18 14:00,7636.83,57.18,nan
NSW1,01-08-18 14:30,7708.84,61.67,nan
NSW1,01-08-18 15:00,7767.75,61.35,nan
NSW1,01-08-18 15:30,7857.13,61.38,nan
NSW1,01-08-18 16:00,8075.85,66.18,nan
NSW1,01-08-18 16:30,8275.24,68.67,nan
NSW1,01-08-18 17:00,8700.73,74.23,nan
NSW1,01-08-18 17:30,9251.78,78.99,nan
NSW1,01-08-18 18:00,9976.96,104.56,nan
NSW1,01-08-18 18:30,10217.56,192.83,nan
NSW1,01-08-18 19:00,10220.43,260.91,nan
NSW1,01-08-18 19:30,10097.01,108.78,nan
NSW1,01-08-18 20:00,9984.52,99.67,nan
NSW1,01-08-18 20:30,9859.1,106.17,nan
NSW1,01-08-18 21:00,9704.38,99.39,nan
NSW1,01-08-18 21:30,9468.76,92.14,nan
NSW1,01-08-18 22:00,9184.01,103.18,nan
NSW1,01-08-18 22:30,9073.95,91.06,nan
NSW1,01-08-18 23:00,8763.86,73.67,nan
NSW1,01-08-18 23:30,8622.54,73.7,nan
NSW1,08-08-18 0:00,8458.37,91.08,nan
NSW1,08-08-18 0:30,8255.65,85.6,nan
NSW1,08-08-18 1:00,8060.24,69.93,nan
NSW1,08-08-18 1:30,7880.33,62.83,nan
NSW1,08-08-18 2:00,7639.07,62.46,nan
NSW1,08-08-18 2:30,7291.02,58.99,nan
NSW1,08-08-18 3:00,7057.68,58.3,nan
NSW1,08-08-18 3:30,6883.01,59.37,nan
NSW1,08-08-18 4:00,6784.16,59.8,nan
NSW1,08-08-18 4:30,6793.9,60.61,nan
NSW1,08-08-18 5:00,6939.83,59.99,nan
NSW1,08-08-18 5:30,7345.4,62.91,nan
NSW1,08-08-18 6:00,7825.17,66.22,nan
NSW1,08-08-18 6:30,8713.08,99.59,nan
NSW1,08-08-18 7:00,9532.35,235.93,nan
NSW1,08-08-18 7:30,9995.84,299.6,nan
NSW1,08-08-18 8:00,10070.43,139.38,nan
NSW1,08-08-18 8:30,9817.01,99.35,nan
NSW1,08-08-18 9:00,9462.02,87.53,nan
NSW1,08-08-18 9:30,9187.26,91.17,nan
NSW1,08-08-18 10:00,9000.22,85.67,nan
NSW1,08-08-18 10:30,8814.67,77.9,nan
NSW1,08-08-18 11:00,8669.31,69.5,nan
NSW1,08-08-18 11:30,8549.35,68.49,nan
NSW1,08-08-18 12:00,8446.32,67.04,nan
NSW1,08-08-18 12:30,8230.85,65.32,nan
NSW1,08-08-18 13:00,8122.32,62.7,nan
NSW1,08-08-18 13:30,8036.66,63.01,nan
NSW1,08-08-18 14:00,7996.2,63.01,nan
NSW1,08-08-18 14:30,7956.36,63.7,nan
NSW1,08-08-18 15:00,7974.49,62.7,nan
NSW1,08-08-18 15:30,8053.39,61.74,nan
NSW1,08-08-18 16:00,8253.69,70.31,nan
NSW1,08-08-18 16:30,8558.78,87.37,nan
NSW1,08-08-18 17:00,8943.06,101.25,nan
NSW1,08-08-18 17:30,9549.34,139.71,nan
NSW1,08-08-18 18:00,10284.98,215.14,nan
NSW1,08-08-18 18:30,10582.37,216.77,nan
NSW1,08-08-18 19:00,10574.13,256.89,nan
NSW1,08-08-18 19:30,10409.81,250.3,nan
NSW1,08-08-18 20:00,10318.45,299.6,nan
NSW1,08-08-18 20:30,10152.85,225.36,nan
NSW1,08-08-18 21:00,9934.45,121.8,nan
NSW1,08-08-18 21:30,9637.76,115.41,nan
NSW1,08-08-18 22:00,9260.94,103.61,nan
NSW1,08-08-18 22:30,9099.86,121.67,nan
NSW1,08-08-18 23:00,8765.95,98.21,nan
NSW1,08-08-18 23:30,8604.43,98.66,nan
NSW1,15-08-18 0:00,8211.66,103.49,nan
NSW1,15-08-18 0:30,8020.86,94.96,nan
NSW1,15-08-18 1:00,7839.72,77.06,nan
NSW1,15-08-18 1:30,7670.85,68.83,nan
NSW1,15-08-18 2:00,7500.23,69.98,nan
NSW1,15-08-18 2:30,7168.15,62.91,nan
NSW1,15-08-18 3:00,6929.07,61.46,nan
NSW1,15-08-18 3:30,6757.6,53.17,nan
NSW1,15-08-18 4:00,6675.61,60.94,nan
NSW1,15-08-18 4:30,6687.17,56.11,nan
NSW1,15-08-18 5:00,6810.86,56.92,nan
NSW1,15-08-18 5:30,7237.87,62.15,nan
NSW1,15-08-18 6:00,7664.83,78.04,nan
NSW1,15-08-18 6:30,8486.46,145.13,nan
NSW1,15-08-18 7:00,9186.45,185.18,nan
NSW1,15-08-18 7:30,9455.74,116.98,nan
NSW1,15-08-18 8:00,9530.18,114.96,nan
NSW1,15-08-18 8:30,9224.89,107.87,nan
NSW1,15-08-18 9:00,8749.75,83.54,nan
NSW1,15-08-18 9:30,8508.78,85.29,nan
NSW1,15-08-18 10:00,8234.64,75.68,nan
NSW1,15-08-18 10:30,7977.63,68.36,nan
NSW1,15-08-18 11:00,7805.2,64.59,nan
NSW1,15-08-18 11:30,7637.58,52.35,nan
NSW1,15-08-18 12:00,7506.88,59.73,nan
NSW1,15-08-18 12:30,7476.73,50.98,nan
NSW1,15-08-18 13:00,7386.99,50.95,nan
NSW1,15-08-18 13:30,7394.91,52.35,nan
NSW1,15-08-18 14:00,7434.98,57.81,nan
NSW1,15-08-18 14:30,7516.97,61.94,nan
NSW1,15-08-18 15:00,7581.19,62.04,nan
NSW1,15-08-18 15:30,7645.01,60.99,nan
NSW1,15-08-18 16:00,7813.51,68.26,nan
NSW1,15-08-18 16:30,8054.33,66.2,nan
NSW1,15-08-18 17:00,8326.64,80.17,nan
NSW1,15-08-18 17:30,8706.69,85.47,nan
NSW1,15-08-18 18:00,9300.64,105.06,nan
NSW1,15-08-18 18:30,9492.76,119.51,nan
NSW1,15-08-18 19:00,9471.88,125.69,nan
NSW1,15-08-18 19:30,9261.2,98.73,nan
NSW1,15-08-18 20:00,9056.54,91.66,nan
NSW1,15-08-18 20:30,8868.91,95.12,nan
NSW1,15-08-18 21:00,8684.02,86.46,nan
NSW1,15-08-18 21:30,8464.42,90.12,nan
NSW1,15-08-18 22:00,8234.84,77.53,nan
NSW1,15-08-18 22:30,8225.44,94.48,nan
NSW1,15-08-18 23:00,8022.94,84.11,nan
NSW1,15-08-18 23:30,7925.19,78.92,nan
NSW1,22-08-18 0:00,8481.94,78.39,nan
NSW1,22-08-18 0:30,8328.69,80.98,nan
NSW1,22-08-18 1:00,8144.97,73.43,nan
NSW1,22-08-18 1:30,7942.17,70.48,nan
NSW1,22-08-18 2:00,7716.32,76.45,nan
NSW1,22-08-18 2:30,7374.47,67.67,nan
NSW1,22-08-18 3:00,7204.55,62.52,nan
NSW1,22-08-18 3:30,6965.75,58.79,nan
NSW1,22-08-18 4:00,6839.36,55.3,nan
NSW1,22-08-18 4:30,6863.53,59.17,nan
NSW1,22-08-18 5:00,7016.44,56.61,nan
NSW1,22-08-18 5:30,7433.8,61.77,nan
NSW1,22-08-18 6:00,7905,69.49,nan
NSW1,22-08-18 6:30,8790.57,100.81,nan
NSW1,22-08-18 7:00,9537.78,222.74,nan
NSW1,22-08-18 7:30,9830.83,200.85,nan
NSW1,22-08-18 8:00,9885.43,144.16,nan
NSW1,22-08-18 8:30,9610.52,94.04,nan
NSW1,22-08-18 9:00,9206.73,82.75,nan
NSW1,22-08-18 9:30,8917.01,78.1,nan
NSW1,22-08-18 10:00,8644.3,71.91,nan
NSW1,22-08-18 10:30,8460.52,73.71,nan
NSW1,22-08-18 11:00,8333.36,74.6,nan
NSW1,22-08-18 11:30,8149.21,62.94,nan
NSW1,22-08-18 12:00,8082.19,65.89,nan
NSW1,22-08-18 12:30,8072.81,71.38,nan
NSW1,22-08-18 13:00,8095.66,73.17,nan
NSW1,22-08-18 13:30,8181.6,78.36,nan
NSW1,22-08-18 14:00,8198.31,78.57,nan
NSW1,22-08-18 14:30,8208.2,78.68,nan
NSW1,22-08-18 15:00,8155.64,73.54,nan
NSW1,22-08-18 15:30,8169.77,77.88,nan
NSW1,22-08-18 16:00,8391.62,86.04,nan
NSW1,22-08-18 16:30,8687.18,88.79,nan
NSW1,22-08-18 17:00,9050.45,100.49,nan
NSW1,22-08-18 17:30,9611.42,92.73,nan
NSW1,22-08-18 18:00,10377.27,213.38,nan
NSW1,22-08-18 18:30,10727.55,243.32,nan
NSW1,22-08-18 19:00,10750.3,277.48,nan
NSW1,22-08-18 19:30,10602.25,131.33,nan
NSW1,22-08-18 20:00,10413.38,109.87,nan
NSW1,22-08-18 20:30,10222.55,112.08,nan
NSW1,22-08-18 21:00,9997.31,107.49,nan
NSW1,22-08-18 21:30,9646.34,96.91,nan
NSW1,22-08-18 22:00,9286.66,83.8,nan
NSW1,22-08-18 22:30,9145.44,93.05,nan
NSW1,22-08-18 23:00,8783.2,75.92,nan
NSW1,22-08-18 23:30,8640.64,83.56,nan
NSW1,29-08-18 0:00,8849.45,106.49,nan
NSW1,29-08-18 0:30,8615.88,98.41,nan
NSW1,29-08-18 1:00,8409.75,92.37,nan
NSW1,29-08-18 1:30,8246.37,96.47,nan
NSW1,29-08-18 2:00,8059.39,95.17,nan
NSW1,29-08-18 2:30,7718.05,76.59,nan
NSW1,29-08-18 3:00,7485.7,86.32,nan
NSW1,29-08-18 3:30,7278.69,82.11,nan
NSW1,29-08-18 4:00,7211.92,78.43,nan
NSW1,29-08-18 4:30,7257.7,71.14,nan
NSW1,29-08-18 5:00,7367.73,73.4,nan
NSW1,29-08-18 5:30,7784.34,94.91,nan
NSW1,29-08-18 6:00,8225.81,102.56,nan
NSW1,29-08-18 6:30,9096.24,164.35,nan
NSW1,29-08-18 7:00,9971.22,233.91,nan
NSW1,29-08-18 7:30,10342.01,289.93,nan
NSW1,29-08-18 8:00,10358.77,273.74,nan
NSW1,29-08-18 8:30,10083.24,167.7,nan
NSW1,29-08-18 9:00,9613.79,141.96,nan
NSW1,29-08-18 9:30,9280.21,103.21,nan
NSW1,29-08-18 10:00,8934.69,91.47,nan
NSW1,29-08-18 10:30,8671.03,81.42,nan
NSW1,29-08-18 11:00,8454.72,72.22,nan
NSW1,29-08-18 11:30,8234.48,71.01,nan
NSW1,29-08-18 12:00,8046.98,69.6,nan
NSW1,29-08-18 12:30,7925.65,65.44,nan
NSW1,29-08-18 13:00,7816.6,67.09,nan
