REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
QLD1,01-01-18 0:30,6030.84,81.27
QLD1,01-01-18 1:00,5931.49,78.02
QLD1,01-01-18 1:30,5875.22,65.02
QLD1,01-01-18 2:00,5806.38,64.85
QLD1,01-01-18 2:30,5731.49,64.23
QLD1,01-01-18 3:00,5688.43,63.36
QLD1,01-01-18 3:30,5643.23,64.03
QLD1,01-01-18 4:00,5594.46,61.29
QLD1,01-01-18 4:30,5587.08,60.04
QLD1,01-01-18 5:00,5557.7,59.73
QLD1,01-01-18 5:30,5594.7,57.74
QLD1,01-01-18 6:00,5583.75,52.87
QLD1,01-01-18 6:30,5690.27,57.4
QLD1,01-01-18 7:00,5717.62,58.74
QLD1,01-01-18 7:30,5895.55,59.71
QLD1,01-01-18 8:00,5959.12,59.5
QLD1,01-01-18 8:30,6144.88,59.73
QLD1,01-01-18 9:00,6268.9,60.29
QLD1,01-01-18 9:30,6497.18,64.89
QLD1,01-01-18 10:00,6603.94,65.11
QLD1,01-01-18 10:30,6755.16,66.47
QLD1,01-01-18 11:00,6831.61,75.79
QLD1,01-01-18 11:30,6911.01,74.12
QLD1,01-01-18 12:00,7034.92,68.45
QLD1,01-01-18 12:30,7100.64,67.79
QLD1,01-01-18 13:00,7246.8,75.56
QLD1,01-01-18 13:30,7338.2,83.54
QLD1,01-01-18 14:00,7468.05,85.11
QLD1,01-01-18 14:30,7560.8,85.14
QLD1,01-01-18 15:00,7695.16,83.96
QLD1,01-01-18 15:30,7804.74,86.87
QLD1,01-01-18 16:00,7947.89,96.32
QLD1,01-01-18 16:30,8030.25,94.96
QLD1,01-01-18 17:00,8076.55,97.46
QLD1,01-01-18 17:30,8086.12,87.38
QLD1,01-01-18 18:00,8028.15,94.37
QLD1,01-01-18 18:30,7913.87,84.87
QLD1,01-01-18 19:00,7906.1,84.93
QLD1,01-01-18 19:30,7942.17,84.79
QLD1,01-01-18 20:00,7851.03,83.31
QLD1,01-01-18 20:30,7666.36,83.93
QLD1,01-01-18 21:00,7370.97,72.88
QLD1,01-01-18 21:30,7212.33,75.15
QLD1,01-01-18 22:00,6971.42,67.83
QLD1,01-01-18 22:30,6761.94,68.67
QLD1,01-01-18 23:00,6664.59,66
QLD1,01-01-18 23:30,6435.27,65.81
QLD1,02-01-18 0:00,6056.78,58.33
QLD1,02-01-18 0:30,5925.93,55.2
QLD1,02-01-18 1:00,5823.48,54.43
QLD1,02-01-18 1:30,5722.61,50.92
QLD1,02-01-18 2:00,5633.06,52.18
QLD1,02-01-18 2:30,5623.82,50.94
QLD1,02-01-18 3:00,5609.14,51.91
QLD1,02-01-18 3:30,5589.22,51.8
