REGION,SETTLEMENTDATE,TOTALDEMAND,RRP
VIC1,01-01-18 0:30,4251.18,92.46
VIC1,01-01-18 1:00,4092.53,87.62
VIC1,01-01-18 1:30,3958.95,73.08
VIC1,01-01-18 2:00,3785.27,70.18
VIC1,01-01-18 2:30,3673.72,67.43
VIC1,01-01-18 3:00,3574.67,66.31
VIC1,01-01-18 3:30,3522.81,67.72
VIC1,01-01-18 4:00,3524.25,65.5
VIC1,01-01-18 4:30,3534.15,64.5
VIC1,01-01-18 5:00,3543.68,65.41
VIC1,01-01-18 5:30,3545.49,63.66
VIC1,01-01-18 6:00,3544.99,59.9
VIC1,01-01-18 6:30,3577.63,64.67
VIC1,01-01-18 7:00,3629.71,66.89
VIC1,01-01-18 7:30,3607.71,67.06
VIC1,01-01-18 8:00,3665.63,67.49
VIC1,01-01-18 8:30,3706.94,67.12
VIC1,01-01-18 9:00,3723.28,67.47
VIC1,01-01-18 9:30,3747.4,71.02
VIC1,01-01-18 10:00,3731.08,71.08
VIC1,01-01-18 10:30,3750.72,71.13
VIC1,01-01-18 11:00,3723.72,74.86
VIC1,01-01-18 11:30,3727.65,72.45
VIC1,01-01-18 12:00,3725.76,66.51
VIC1,01-01-18 12:30,3727.86,64.77
VIC1,01-01-18 13:00,3757.85,70.02
VIC1,01-01-18 13:30,3804.46,76.04
VIC1,01-01-18 14:00,3891.34,76.8
VIC1,01-01-18 14:30,3969.98,76.77
VIC1,01-01-18 15:00,4110.34,73.21
VIC1,01-01-18 15:30,4267,78.59
VIC1,01-01-18 16:00,4416.92,85.27
VIC1,01-01-18 16:30,4567.06,80.8
VIC1,01-01-18 17:00,4691.2,81.76
VIC1,01-01-18 17:30,4749.61,75.14
VIC1,01-01-18 18:00,4738.66,73.45
VIC1,01-01-18 18:30,4683.09,68.77
VIC1,01-01-18 19:00,4581.3,70.64
VIC1,01-01-18 19:30,4470.9,67.8
VIC1,01-01-18 20:00,4417.32,73.9
VIC1,01-01-18 20:30,4425.39,77.97
VIC1,01-01-18 21:00,4336.32,70.04
VIC1,01-01-18 21:30,4246.05,71.25
VIC1,01-01-18 22:00,4162.82,66.06
VIC1,01-01-18 22:30,4119.1,64.77
VIC1,01-01-18 23:00,4123.35,61.09
VIC1,01-01-18 23:30,4347.46,63.55
VIC1,02-01-18 0:00,4337.37,60.31
VIC1,02-01-18 0:30,4117.91,57.33
VIC1,02-01-18 1:00,3979.25,56.32
VIC1,02-01-18 1:30,3896.52,51.96
VIC1,02-01-18 2:00,3785.48,53.57
VIC1,02-01-18 2:30,3686.92,52.5
VIC1,02-01-18 3:00,3626.9,53.61
VIC1,02-01-18 3:30,3614.92,53.13
VIC1,02-01-18 4:00,3650.95,53.75
VIC1,02-01-18 4:30,3732.8,51.11
VIC1,02-01-18 5:00,3855.36,66.34
VIC1,02-01-18 5:30,4013.37,67.81
VIC1,02-01-18 6:00,4139.52,69.3
VIC1,02-01-18 6:30,4350.66,68.97
VIC1,02-01-18 7:00,4518.65,77.13
VIC1,02-01-18 7:30,4478.97,72.24
VIC1,02-01-18 8:00,4549.7,73.57
VIC1,02-01-18 8:30,4593.45,77.12
VIC1,02-01-18 9:00,4575.37,82.21
VIC1,02-01-18 9:30,4578.24,77.9
