datetime_beginning_ept,AECO,Load,temp,feelslike,dew,humidity,precip,snow,snowdepth,windspeed,winddir,sealevelpressure,visibility
2018-02-07T00:00:00,27.03,1003.946,0.6,0.6,-4.6,68.56,0,0,0,0,0,1032.5,16
2018-02-07T01:00:00,27.48,978.924,0.5,0.5,-6.1,61.25,0,0,0,0,1,1032.3,16
2018-02-07T02:00:00,27.34,968.187,0.5,0.5,-6.6,58.76,0,0,0,0,0,1031.8,14
2018-02-07T03:00:00,28.31,969.786,0.5,0.5,-6.6,58.92,0,0,0,0,0,1031.8,14
2018-02-07T04:00:00,27.74,978.727,0.7,0.7,-4.9,65.81,0,0,0,0.2,85,1031.1,14.1
2018-02-07T05:00:00,25.07,1022.969,1.8,1.8,-3.9,66.08,0,0,0,0.1,81,1030,16
2018-02-07T06:00:00,24.78,1118.255,2.6,2.6,-1.8,72.63,0,0,0,0.2,116,1029.5,13
2018-02-07T07:00:00,27.08,1161.411,2.8,2.8,0.4,84.1,0.29,0,0,0.3,115,1028.4,11
2018-02-07T08:00:00,28.09,1167.037,3.3,3.3,1.5,87.99,0.36,0,0,0.2,88,1027.3,5.4
2018-02-07T09:00:00,33.33,1154.313,3.5,3.5,2.6,93.87,0.38,0,0,0.3,106,1026.1,7.7
2018-02-07T10:00:00,46.86,1150.279,3.9,3.9,3.6,98.41,0,0,0,0.3,97,1024.4,10.7
2018-02-07T11:00:00,30.09,1138.767,4.4,4.4,4.2,98.93,0,0,0,0.3,104,1022.6,15.2
2018-02-07T12:00:00,29.56,1147.258,6.4,6.4,4.9,90.4,0,0,0,0.1,102,1020.5,15.2
2018-02-07T13:00:00,31.24,1143.197,7.1,7.1,4.9,86,1.19,0,0,0.2,336,1018.6,4.1
2018-02-07T14:00:00,29.26,1124.073,7.6,7.6,5.6,87.14,3.78,0,0,0.2,94,1016.7,1.1
2018-02-07T15:00:00,26.55,1126.536,6.9,6.9,8.9,100,1.37,0,0,0.3,190,1015.4,10.8
2018-02-07T16:00:00,29.34,1154.329,6.8,6.8,11.1,100,0.73,0,0,0.5,189,1014.1,14.2
2018-02-07T17:00:00,27.16,1221.877,8.9,8.9,10,100,0.41,0,0,0.7,193,1012.5,13.2
2018-02-07T18:00:00,26.59,1226.498,7.2,7.2,11.6,100,1.23,0,0,0.6,205,1012.7,4.5
2018-02-07T19:00:00,29.69,1205.443,10.3,10.3,7.4,82.39,2.18,0,0,0.6,281,1014.1,5
2018-02-07T20:00:00,27.72,1179.776,6.6,6.6,5.9,94.77,1.78,0,0,0.6,290,1015.3,5.2
2018-02-07T21:00:00,26.69,1122.209,5.4,5.4,4.2,91.97,0.96,0,0,0.7,300,1016.1,13.2
2018-02-07T22:00:00,23.59,1049.331,4.6,4.6,3.2,90.38,0.15,0,0,0.6,310,1017,15.9
2018-02-07T23:00:00,22.59,984.199,3.8,3.8,2.1,88.45,0,0,0,0.6,310,1018.5,16
2018-02-08T00:00:00,24.82,937.675,3.6,3.6,1.6,86.58,0,0,0,0.5,310,1019.9,16
2018-02-08T01:00:00,24.95,916.656,3.3,3.3,1,84.58,0,0,0,0.5,318,1020.8,16
2018-02-08T02:00:00,24.42,914.389,2.5,2.5,-1.3,75.91,0,0,0,0.5,330,1022.2,16
2018-02-08T03:00:00,25.94,921.14,1.6,1.6,-3.4,69.32,0,0,0,0.5,311,1022.9,16
2018-02-08T04:00:00,27.28,952.594,1,1,-4,69.03,0,0,0,0.4,320,1023.4,16
2018-02-08T05:00:00,27.11,1022.737,-0.1,-0.1,-5.3,68.4,0,0,0,0.4,322,1025,16
2018-02-08T06:00:00,35.35,1119.581,-1.4,-1.4,-6.8,66.46,0,0,0,0.4,331,1026.1,16
2018-02-08T07:00:00,35.2,1155.885,-2,-2,-7.3,67.16,0,0,0,0.3,320,1027.1,16
2018-02-08T08:00:00,33.7,1124.752,-2.2,-2.2,-7.3,67.94,0,0,0,0.2,339,1028.3,16
2018-02-08T09:00:00,24.38,1046.358,-0.9,-0.9,-7.9,59.07,0,0,0,0.4,329,1029.3,16
2018-02-08T10:00:00,29.27,958.948,-0.8,-0.8,-7.8,59.13,0,0,0,0.5,310,1029.6,16
2018-02-08T11:00:00,26.87,904.556,0.1,0.1,-7.8,55.43,0,0,0,0.5,335,1029.5,16
2018-02-08T12:00:00,26.73,882.119,0.7,0.7,-7.2,55.77,0,0,0,0.4,281,1029.2,16
2018-02-08T13:00:00,26.95,881.242,1.4,1.4,-8.3,48.78,0,0,0,0.5,302,1028.3,16
2018-02-08T14:00:00,25.44,906.958,1.4,1.4,-8.8,46.76,0,0,0,0.5,308,1027.6,16
2018-02-08T15:00:00,26.34,982.521,1.9,1.9,-8.4,46.73,0,0,0,0.4,308,1027.6,16
2018-02-08T16:00:00,26.95,1078.457,1.4,1.4,-8.9,46.27,0,0,0,0.5,300,1028.1,16
2018-02-08T17:00:00,30.51,1212.381,0.5,0.5,-9.4,47.33,0,0,0,0.4,282,1029.1,16
2018-02-08T18:00:00,31.81,1290.441,-0.4,-0.4,-9.9,48.45,0,0,0,0.3,282,1029.9,16
2018-02-08T19:00:00,30.77,1290.07,-1,-1,-9.3,53.37,0,0,0,0.3,293,1031.6,16
2018-02-08T20:00:00,29.26,1267.287,-1.4,-1.4,-9.2,55.09,0,0,0,0.2,265,1032,16
2018-02-08T21:00:00,28.74,1215.481,-1.7,-1.7,-8.8,58.19,0,0,0,0.2,246,1032.4,16
2018-02-08T22:00:00,28.2,1141.358,-1.7,-1.7,-8.8,58.37,0,0,0,0.2,234,1033.3,16
2018-02-08T23:00:00,26.36,1077.512,-2,-2,-8.8,59.88,0,0,0,0.1,221,1033.5,16
2018-02-09T00:00:00,27.41,1033.692,-1.9,-1.9,-9.3,57.34,0,0,0,0,0,1033.8,16
2018-02-09T01:00:00,27.26,1017.277,-1.5,-1.5,-7.8,62.11,0,0,0,0.1,221,1034.1,16
2018-02-09T02:00:00,27.49,1004.476,-1.6,-1.6,-9.3,55.77,0,0,0,0,0,1034.2,14.2
2018-02-09T03:00:00,28.04,1006.87,-1.5,-1.5,-8.8,57.27,0,0,0,0,347,1033.7,14.1
2018-02-09T04:00:00,31.33,1023.634,-1.6,-1.6,-8.8,57.6,0,0,0,0,0,1034,16
2018-02-09T05:00:00,32.38,1082.145,-1.3,-1.3,-8.3,58.7,0,0,0,0,0,1034.2,15.9
2018-02-09T06:00:00,45.7,1183.282,-1.3,-1.3,-9.3,54.66,0,0,0,0,0,1034.6,14.1
2018-02-09T07:00:00,58.64,1205.988,-1.3,-1.3,-7.8,60.88,0,0,0,0,0,1035.2,15.9
2018-02-09T08:00:00,21.41,1157.662,-1,-1,-7.1,63.48,0,0,0,0,0,1036.2,13.2
2018-02-09T09:00:00,28.4,1069.309,-0.4,-0.4,-4.9,71.45,0,0,0,0,17,1036.5,16
2018-02-09T10:00:00,21.46,990.596,0.2,0.2,-7.1,58.3,0,0,0,0.2,131,1036.5,16
2018-02-09T11:00:00,26.11,974.493,0.7,0.7,-6.7,57.62,0,0,0,0.3,171,1036.7,16
2018-02-09T12:00:00,25.88,966.411,1.2,1.2,-6.7,55.76,0,0,0,0.3,178,1035.6,16
2018-02-09T13:00:00,25.23,958.7,1.4,1.4,-6.1,57.24,0,0,0,0.3,168,1034.6,16
2018-02-09T14:00:00,24.42,994.715,1.7,1.7,-5.1,60.68,0,0,0,0.4,161,1034.3,16
2018-02-09T15:00:00,23.33,1046.158,2.2,2.2,-4.4,61.77,0,0,0,0.4,168,1033.6,16
2018-02-09T16:00:00,21.72,1107.016,2.7,2.7,-3.3,64.64,0,0,0,0.4,169,1032.8,16
2018-02-09T17:00:00,28.67,1196.098,3.2,3.2,-2.2,67.93,0,0,0,0.4,168,1032.2,16
2018-02-09T18:00:00,33.51,1231.054,3.7,3.7,-1.2,70.43,0,0,0,0.3,168,1031.3,16
2018-02-09T19:00:00,25.4,1211.077,3.8,3.8,-0.1,75.55,0,0,0,0.3,173,1031.6,16
2018-02-09T20:00:00,24.77,1183.186,3.9,3.9,0.5,78.89,0,0,0,0.2,166,1031.1,16
2018-02-09T21:00:00,23.86,1143.978,4,4,1,80.69,0,0,0,0.1,207,1030.7,16
2018-02-09T22:00:00,23.29,1073.428,4,4,2,86.44,0,0,0,0.2,173,1030.2,16
2018-02-09T23:00:00,21.63,1003.49,4.7,4.7,2.6,86.32,0,0,0,0.2,173,1029.6,16
2018-02-10T00:00:00,21.45,950.577,4.8,4.8,2.7,85.89,0,0,0,0,350,1029.1,16
2018-02-10T01:00:00,20.67,910.736,5.3,5.3,0.7,72.49,0,0,0,0,350,1028.6,16
2018-02-10T02:00:00,20.65,892.78,5.5,5.5,1.7,76.58,0,0,0,0,350,1028,16
2018-02-10T03:00:00,20.46,882.15,5.8,5.8,1.2,72.3,0,0,0,0.1,299,1027.3,16
2018-02-10T04:00:00,20.63,883.902,7.1,7.1,4,80.84,0,0,0,0.1,261,1026.8,15.9
2018-02-10T05:00:00,21.54,902.733,7,7,4.1,81.51,0,0,0,0.2,173,1026.8,14.1
2018-02-10T06:00:00,26.19,940.027,5.6,5.6,6.1,100,0,0,0,0.3,173,1026.6,16
2018-02-10T07:00:00,23.95,964.877,5.6,5.6,6.9,100,0,0,0,0.3,173,1026.7,15.8
2018-02-10T08:00:00,27.82,949.575,6.7,6.7,7.7,100,0,0,0,0.3,173,1026.8,16
2018-02-10T09:00:00,25.45,924.17,8.2,8.2,8.2,100,0,0,0,0.3,170,1026,16
2018-02-10T10:00:00,25.71,920.612,9,9,9.2,100,0,0,0,0.6,200,1025.3,16
2018-02-10T11:00:00,27.37,942.857,8,8,9.2,100,0,0,0,0.3,199,1025.4,16
2018-02-10T12:00:00,25.08,960.988,7.8,7.8,9.8,100,0,0,0,0.3,191,1024.5,16
2018-02-10T13:00:00,24.57,943.466,6.7,6.7,9.9,100,0,0,0,0.3,190,1023,16
2018-02-10T14:00:00,23.62,958.914,7,7,10.6,100,0,0,0,0.2,174,1021.9,16
2018-02-10T15:00:00,23.52,980.409,6.7,6.7,9.4,100,0.05,0,0,0.2,164,1021.7,15.7
2018-02-10T16:00:00,23.95,1022.708,6.3,6.3,10.6,100,0.65,0,0,0.2,177,1021.5,4.8
2018-02-10T17:00:00,31.11,1087.62,7,7,11.1,100,3.27,0,0,0.2,140,1021,3.1
2018-02-10T18:00:00,26.71,1102.131,7.7,7.7,10.1,100,3.72,0,0,0.2,127,1019.7,2.9
2018-02-10T19:00:00,23.45,1069.903,6.9,6.9,11.1,100,3.48,0,0,0.3,198,1019,3.2
2018-02-10T20:00:00,22.2,1035.865,8.1,8.1,11.5,100,0.89,0,0,0.3,165,1019.2,9.2
2018-02-10T21:00:00,21.18,996.427,6.6,6.6,10.9,100,0.02,0,0,0.2,194,1018.3,1
